Intercept,input1,input2,input3,input4,input5,input6,input7
1.2197274440461925e-19,1.7425559365595003e-11,-2.3161057151484775e-23,3.7819542407393496e-08,1.6602503686780485e-11,2.703223657519304e-08,2.4693783523851506e-08,2.7032236575193e-08
6.938893903907228e-18,1.2785075492722563e-11,6.88214269644119e-21,1.2751302030017011e-11,1.218120222986575e-11,1.1682472414836904e-11,1.0671867403490999e-11,6.454546265324381e-05
2.09808349609375e-05,2.1822666480233575e-09,1.862645149230957e-09,-5.587935447692871e-09,27772586.944623284,1.4202669262886047e-08,-2.0954757928848267e-08,-8.556526154279709e-09
2.117582368135751e-22,1.3267633235980645e-13,-1.550963648536927e-25,2.8795392290478747e-10,1.2640967506064256e-13,2.0582053804002063e-10,1.8801580834739422e-10,2.0582053804002014e-10
4.235164736271502e-22,1.326056427404875e-13,-1.2924697071141057e-25,1.3225534731082475e-13,1.2634232430099176e-13,2.0571087737038634e-10,1.879156339933601e-10,2.0571087737038567e-10
2.710505431213761e-19,1.2785075487349685e-11,-2.6469779601696886e-22,1.2751302010528636e-11,1.2181202249049722e-11,5.012273063211777e-07,1.0671867416706036e-11,1.1682472407574465e-11
3.2526065174565133e-19,6.4163168607948924e-12,-5.293955920339377e-23,6.399367306650899e-12,6.113257090262057e-12,5.862964576552278e-12,5.113990005260536e-07,5.862964576019367e-12
1.3234889800848443e-23,5.469571995039188e-12,-2.4233807008389483e-27,5.4551233936820315e-12,5.211229511061717e-12,4.997868333399061e-12,4.565522292703133e-12,4.997868333399044e-12
-2.9802322387695312e-08,2.684396005745158e-11,-1.4551915228366852e-11,2.1827872842550278e-11,166680.78159106016,6.730260793119669e-11,-7.275957614183426e-11,3.61524143954739e-11
3.1554436208840472e-30,3.069771379156089e-18,-9.62964972193618e-34,3.0616621700707615e-18,2.9247778834943797e-18,2.805029932977246e-18,2.5623777651616354e-18,2.8050299329772382e-18
