Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,1.7772542776666987e-13,9.693522803355793e-27,1.3089648738783136e-10,1.4209198034523888e-13,7.96005294519905e-12,6.039595974501935e-12,7.960052945199014e-12
3.3881317890172014e-21,3.158661857170582e-14,0.0,3.1584203285473095e-14,2.5253590566546918e-14,2.318513923531915e-14,1.759145003374089e-14,2.1346209741919264e-08
4.0978193283081055e-08,2.8122913247741406e-13,-3.2741809263825417e-11,5.684341886080801e-13,64480.15976976931,-8.185452315956354e-12,-3.3651303965598345e-11,1.3869794202037156e-11
-5.293955920339377e-23,2.8655796049357106e-13,3.877409121342317e-26,2.110526947830544e-10,2.2910389696004595e-13,1.2834497382060557e-11,9.738023007774184e-12,1.2834497382060474e-11
0.0,2.8657918726759997e-13,5.6545549686242126e-27,2.8655727385897653e-13,2.291208678257094e-13,1.28354480971463e-11,9.738744351594958e-12,1.2835448097146285e-11
2.6469779601696886e-23,3.158661857148421e-14,-1.2924697071141057e-26,3.158420328621707e-14,2.525359056175347e-14,1.6578300323538552e-10,1.7591450030419242e-14,2.3185139240407845e-14
2.6469779601696886e-23,1.3166547668809663e-14,5.169878828456423e-26,1.3165540882724704e-14,1.052669196567758e-14,9.664479922963335e-15,1.404814337700157e-10,9.664479922952026e-15
0.0,9.203875097895761e-12,-1.0097419586828951e-27,9.203171319376966e-12,7.358524078094015e-12,6.755807849882205e-12,5.1258892592249254e-12,6.7558078498822e-12
2.2351741790771484e-08,3.5713466380296296e-11,-2.1827872842550278e-11,-3.092281986027956e-11,102383.81391889538,-1.0913936421275139e-11,-1.2732925824820995e-11,1.000444171950221e-11
-6.162975822039155e-33,5.81565767434204e-21,-2.727146893907707e-36,5.815212977418159e-21,4.6496346996692835e-21,4.268796061512204e-21,3.2388984955971768e-21,4.2687960615122015e-21
