Intercept,input1,input2,input3,input4,input5,input6,input7
-1.5881867761018131e-22,5.192456615154538e-16,1.550963648536927e-25,2.8787647432014145e-10,4.819349034258559e-16,1.4262104950801158e-10,1.2196538912232387e-10,1.4262104950801189e-10
-7.589415207398531e-19,1.5317135892436614e-15,1.0587911840678754e-22,1.5316683835822617e-15,1.4216511518861123e-15,1.3093522119534068e-15,1.1197202227275678e-15,1.154322338584015e-06
-5.960464477539063e-08,-1.3522091383584489e-11,0.0,-2.2737367544323206e-12,164901.04738511276,5.4569682106375694e-12,-2.546585164964199e-11,3.2741809263825417e-11
-3.1763735522036263e-22,8.247315867895259e-16,1.550963648536927e-25,4.5724180103462006e-10,7.65469924765516e-16,2.2652877660982356e-10,1.9372084612986329e-10,2.2652877660982405e-10
5.293955920339377e-23,8.247540665180347e-16,0.0,8.247297160186919e-16,7.65490789103998e-16,2.2653495113384065e-10,1.9372612640389674e-10,2.265349511338405e-10
-2.541098841762901e-21,1.5317134811606266e-15,-8.271806125530277e-25,1.5316682508197734e-15,1.4216511411327644e-15,8.963675459861859e-09,1.1197200992708613e-15,1.3093522396639573e-15
-1.6940658945086007e-21,7.196268532947254e-16,1.2407709188295415e-24,7.196056078856972e-16,6.679175632814228e-16,6.151574992724233e-16,8.561781380589642e-09,6.15157498858833e-16
-9.926167350636332e-24,5.472459082333057e-12,6.462348535570529e-27,5.472297511279277e-12,5.079231727128217e-12,4.678013641560437e-12,4.00050172173503e-12,4.67801364156044e-12
2.9802322387695312e-08,-5.808668446472964e-11,0.0,6.002665031701326e-11,257840.25524796222,-4.729372449219227e-11,-1.8189894035458565e-11,8.003553375601768e-11
-1.8055593228630336e-35,1.5337371048131445e-23,1.7632415262334313e-38,1.5336918221501743e-23,1.4235293579425957e-23,1.3110820914214083e-23,1.1211994162372185e-23,1.3110820914214076e-23
