Intercept,input1,input2,input3,input4,input5,input6,input7
-4.658681209898652e-21,4.475261245456856e-11,1.4475660719677984e-24,1.3532035103856973e-09,3.287332920528871e-11,1.1898524969543106e-09,1.1445358883001064e-09,1.1898524969543075e-09
8.131516293641283e-20,1.901661172097168e-11,-5.293955920339377e-23,1.9014059794149705e-11,1.3968778651910822e-11,1.825986316460411e-11,1.756441975861415e-11,2.698870159335307e-07
1.2516975402832031e-06,6.921030601558496e-10,-3.792592906393111e-10,-3.5424818634055555e-10,593519.0467152853,-1.2137206795159727e-09,-4.0336090023629367e-10,-4.2587089410517365e-10
-8.470329472543003e-21,7.29896496968696e-11,4.446095792472524e-24,2.207018647054289e-09,5.3615032764840126e-11,1.940599937753476e-09,1.8666904337110395e-09,1.940599937753473e-09
-9.740878893424454e-21,7.264920461049881e-11,4.756288522179909e-24,7.263945547898836e-11,5.33649565617618e-11,1.940522168892512e-09,1.866615626747492e-09,1.9405221688925087e-09
-7.623296525288703e-21,1.9016611720920446e-11,3.9291079096268815e-24,1.9014059794175658e-11,1.396877865187747e-11,2.11387519928418e-09,1.7564419758649048e-11,1.8259863164643608e-11
-5.717472393966527e-21,1.0049542174297906e-11,2.481541837659083e-24,1.0048193579932751e-11,7.381958060965401e-12,9.649629895330213e-12,2.2607871680356247e-09,9.64962989532927e-12
-3.474158572722716e-23,5.179230401384549e-12,1.1713006720721583e-26,5.178535376591951e-12,3.8044381473278226e-12,4.973127695685457e-12,4.7837216288413475e-12,4.9731276956854495e-12
2.0265579223632812e-06,1.2242852502240785e-09,-7.275957614183426e-10,-8.399183570872992e-10,952496.7771989189,-2.032265911111608e-09,-6.982645572861657e-10,-1.8962964531965554e-10
-4.733165431326071e-30,9.539340618380313e-19,2.1185229388259594e-33,9.538060490307036e-19,7.007186113832275e-19,9.159731340618134e-19,8.810874686870775e-19,9.159731340618128e-19
