Intercept,input1,input2,input3,input4,input5,input6,input7
5.204170427930421e-18,8.356026494958844e-07,1.6940658945086007e-21,9.73474863775669e-06,1.3849075180259637e-13,2.5697306860250636e-06,1.3675826986036515e-06,2.5697306860250725e-06
6.098637220230962e-20,1.4582326369757495e-10,1.819797347616661e-23,2.5672186144260954e-13,2.416829678541712e-17,6.815895907638607e-14,3.6273455877958134e-14,8.76690375793553e-08
0.0,2.0838177260274004e-10,5.820766091346741e-11,7.275957614183426e-12,565586.118769611,-2.546585164964199e-10,1.227817847393453e-10,-1.4551915228366852e-10
1.0408340855860843e-17,1.3385029341551862e-06,6.776263578034403e-21,1.559352357578266e-05,2.2184021587485885e-13,4.116301049677452e-06,2.1906506111310162e-06,4.116301049677462e-06
4.440892098500626e-16,0.0007602956007226664,1.5178830414797062e-18,1.3385004341972889e-06,1.2600954589665758e-10,0.0023381387514814353,0.001244331992006104,0.0023381387514814366
-2.117582368135751e-22,1.4582326369763379e-10,2.5849394142282115e-25,2.567218613251111e-13,2.416839409546137e-17,6.808451392007644e-10,3.627345606081311e-14,6.815895903221915e-14
2.9116757561866574e-22,4.2635332127843e-11,-3.3927329811745276e-26,7.505950384456898e-14,7.066276203934482e-18,1.992809502502824e-14,4.0467586200229185e-10,1.9928095024951146e-14
-2.274746684520826e-24,2.3428372173907766e-12,7.1155253650935265e-28,4.12456501095564e-15,3.882961573400564e-19,1.0950608419377675e-15,5.827794599260319e-16,1.0950608419375677e-15
-5.960464477539062e-07,4.748625883032908e-10,1.1641532182693481e-10,-1.3096723705530167e-10,891745.5240867003,-4.220055416226387e-10,3.4015101846307516e-10,-2.6921043172478676e-10
-1.4475660719677984e-24,9.23699928544801e-13,6.364135352870513e-28,1.6261737595842836e-15,1.5309178548196065e-19,4.3174472982659913e-16,2.297698455081561e-16,4.317447298266906e-16
