Intercept,input1,input2,input3,input4,input5,input6,input7
-1.734723475976807e-18,3.504717909945948e-08,8.470329472543003e-22,1.3114787544117654e-05,4.033669256736889e-09,8.081826958431048e-07,5.946081771506852e-07,8.081826958431037e-07
-1.249000902703301e-16,2.4521488606278746e-08,-2.710505431213761e-20,2.053369788946062e-09,2.822240684221774e-09,1.582024288645923e-08,1.1639504078859791e-08,0.00024483372680051264
0.005859375,-7.095118180013249e-06,-1.9073486328125e-06,4.291534423828125e-06,23925150469.956093,1.71661376953125e-05,-1.0728836059570312e-05,5.7220458984375e-06
5.293955920339377e-23,1.4484886618014961e-12,-2.5849394142282115e-26,5.420299592637807e-10,1.6671025554593293e-13,3.340193138713953e-11,2.457496508843219e-11,3.340193138713948e-11
-2.117582368135751e-22,1.0890531417773407e-11,1.0339757656912846e-25,9.119466015143666e-13,1.2534190453587833e-12,2.511340218110568e-10,1.8476805269112541e-10,2.511340218110568e-10
-1.3010426069826053e-18,2.4521488606174286e-08,8.999725064576941e-22,2.053369788914457e-09,2.82224068417573e-09,1.916907893822397e-06,1.1639504078879564e-08,1.5820242886369974e-08
1.0842021724855044e-19,9.911628371388817e-09,1.5881867761018131e-22,8.29975642327719e-10,1.1407545963221577e-09,6.394569707947785e-09,1.5669475371558443e-06,6.394569707947699e-09
-4.963083675318166e-24,5.413946275258605e-12,2.0194839173657902e-27,4.533506875932638e-13,6.231048891593661e-13,3.4928525924314435e-12,2.5698133896260976e-12,3.4928525924314395e-12
2.9802322387695312e-08,-9.703878782251499e-11,-5.820766091346741e-11,8.731149137020111e-11,336914.50691160024,2.6557245291769505e-10,-1.0186340659856796e-10,-5.820766091346741e-11
6.462348535570529e-27,1.0491137616762538e-14,0.0,8.785023364436083e-16,1.207451793846295e-15,6.768444930775327e-15,4.9797808380872e-15,6.768444930775324e-15
