Intercept,input1,input2,input3,input4,input5,input6,input7
3.3881317890172014e-21,2.6140640428935583e-16,-1.6543612251060553e-24,2.1409253229705788e-08,2.5023716434184035e-16,6.61784512017298e-09,5.367579521330992e-09,6.617845120172973e-09
1.3877787807814457e-17,1.0288389833904953e-15,5.759824041329242e-20,1.0273061223854858e-15,9.849163585401444e-16,8.261535851044818e-16,6.700648946833011e-16,0.00015876267781796786
-1.9073486328125e-06,2.9413911936707865e-09,0.0,-3.3760443329811096e-09,12242199.067388918,2.7939677238464355e-09,3.725290298461914e-09,-6.984919309616089e-10
0.0,3.1938769445318965e-18,1.2924697071141057e-26,2.6157936102578847e-10,3.0574105690812666e-18,8.085717326658334e-11,6.558136364591758e-11,8.085717326658331e-11
-1.3234889800848443e-23,3.1885481902338155e-18,-3.877409121342317e-26,3.1837778098486825e-18,3.0523094625659257e-18,8.072226675924172e-11,6.547194413050853e-11,8.07222667592417e-11
-3.2526065174565133e-19,1.0288634309204201e-15,-1.0587911840678754e-22,1.0273239299297129e-15,9.84902488375633e-16,1.23284187285916e-06,6.700806177323845e-16,8.261621877828524e-16
4.336808689942018e-19,4.584542862966409e-16,-1.5881867761018131e-22,4.577685950792338e-16,4.388661399994966e-16,3.681325890962173e-16,1.1168486764919193e-06,3.681322052844131e-16
-1.6543612251060553e-24,5.472470881590152e-12,0.0,5.464283579976404e-12,5.23864582771918e-12,4.394315228999528e-12,3.564126389351683e-12,4.394315228999521e-12
0.0,3.3608072219604884e-11,-5.820766091346741e-11,-2.9558577807620168e-12,152026.4308408905,2.9103830456733704e-11,7.275957614183426e-12,-1.2732925824820995e-11
-3.611118645726067e-35,3.8272425034070275e-23,0.0,3.821516609308671e-23,3.663713961382811e-23,3.073220558262508e-23,2.4926173752207838e-23,3.0732205582624983e-23
