Intercept,input1,input2,input3,input4,input5,input6,input7
2.541098841762901e-21,1.1966108550434373e-10,-4.1359030627651384e-25,3.4832264631739476e-09,6.55171417367944e-11,2.8894355331917377e-09,2.7330750069043114e-09,2.889435533191732e-09
3.7947076036992655e-19,4.6704283771896676e-11,-6.617444900424221e-23,4.6688172213038067e-11,2.5571648182058488e-11,4.416890420606072e-11,4.1778723484542915e-11,3.8998632965825216e-07
-1.1920928955078125e-07,2.7085586023575355e-10,4.656612873077393e-10,-1.8917489796876907e-10,1135076.305555428,5.820766091346741e-11,-1.4551915228366852e-10,-1.1641532182693481e-10
3.3881317890172014e-21,1.7357968204705414e-10,-3.308722450212111e-24,5.052748263374748e-09,9.503878878728157e-11,4.191398557291784e-09,3.9645828776304485e-09,4.191398557291778e-09
2.541098841762901e-21,1.736384118931026e-10,-1.6543612251060553e-24,1.7357851191673347e-10,9.50709447018921e-11,4.192816696725493e-09,3.965924275075747e-09,4.192816696725484e-09
2.117582368135751e-22,4.670428377185715e-11,-2.0679515313825692e-25,4.668817221299319e-11,2.5571648182023643e-11,3.0721918001307575e-09,4.177872348470654e-11,4.416890420612162e-11
8.470329472543003e-22,2.427013024656241e-11,-8.271806125530277e-25,2.426175778903752e-11,1.3288443411928784e-11,2.2952606728047385e-11,3.2207733338932322e-09,2.2952606728046713e-11
3.308722450212111e-24,5.277906901938996e-12,-4.0389678347315804e-28,5.2760861844188086e-12,2.889773004402359e-12,4.991391485614539e-12,4.721284542361455e-12,4.991391485614526e-12
-4.76837158203125e-07,4.911976125248471e-10,0.0,7.275957614183426e-11,1623599.5234303388,2.3283064365386963e-10,-5.820766091346741e-11,-5.820766091346741e-11
0.0,1.9238389286742537e-18,-1.1555579666323415e-33,1.9231752626967117e-18,1.053345180995668e-18,1.819401786861881e-18,1.7209456636315555e-18,1.8194017868618778e-18
