Intercept,input1,input2,input3,input4,input5,input6,input7
-2.168404344971009e-19,1.8412263435672653e-07,-3.1763735522036263e-22,7.628455195519157e-07,5.532014710828591e-10,4.954639826399002e-07,4.1487762633666075e-07,5.241341254659984e-07
-3.2526065174565133e-19,4.465589683849443e-09,1.0587911840678754e-22,4.1954399513404984e-09,1.341698586399165e-11,3.3400524886432774e-09,2.598922023035528e-09,1.7982314018431767e-06
0.0,-2.579529972033282e-10,-2.3283064365386963e-10,-2.0372681319713593e-09,5754253.842406127,-2.7212081477046013e-09,-5.820766091346741e-10,2.270098775625229e-09
2.168404344971009e-19,1.0452640227356824e-07,5.293955920339377e-23,4.330673299773997e-07,3.1405242330349983e-10,2.812748565238544e-07,2.3552598960077045e-07,2.975508939200785e-07
0.0,1.1009242316035348e-07,-1.5881867761018131e-22,1.0343228625264996e-07,3.307756846962598e-10,2.98498378802912e-07,2.49999349982462e-07,3.158357606003946e-07
0.0,4.280322014764112e-09,4.963083675318166e-24,4.021380211059191e-09,1.286034410461719e-11,1.65615429576548e-08,2.4910983626838193e-09,3.1471199671672884e-09
1.1858461261560205e-20,1.9419285330359737e-09,-1.3234889800848443e-23,1.8244498771601141e-09,5.834577182583854e-12,1.4524718321057766e-09,1.3453096341149844e-08,1.4278089452263154e-09
3.308722450212111e-24,4.315904695750315e-12,-8.077935669463161e-28,4.054810286806018e-12,1.2967253239051186e-14,3.228095109571279e-12,2.511807075261727e-12,3.1732822431434143e-12
7.152557373046875e-07,-1.1891634538051093e-10,-3.4924596548080444e-10,-1.6589183360338211e-09,3576486.8319140067,-5.020410753786564e-10,-3.4924596548080444e-10,1.3387762010097504e-09
1.0097419586828951e-28,8.61510591652059e-17,-1.232595164407831e-32,8.093927589881142e-17,2.588432043245759e-19,6.44369680010367e-17,5.0138929194968206e-17,6.334283204773555e-17
