Intercept,input1,input2,input3,input4,input5,input6,input7
-2.117582368135751e-21,1.1763428340975456e-14,2.0679515313825692e-25,2.2406387685581137e-09,1.1097260253895917e-14,1.4920048649936848e-09,1.3425932050878616e-09,1.4920048649936858e-09
-1.3010426069826053e-18,2.1129671780367218e-14,0.0,2.1126224820098086e-14,1.9933087593150778e-14,1.9057936605526692e-14,1.7149444519771193e-14,7.585158632883257e-06
-1.1920928955078125e-07,-1.530689894344124e-10,-1.6370904631912708e-10,-5.820766091346741e-11,1197910.447120423,3.495657097118965e-10,3.583409124985337e-10,2.7921487344428897e-10
-3.1763735522036263e-22,1.8606480324116933e-15,-5.169878828456423e-26,3.544068952739901e-10,1.7552787212342343e-15,2.3599377970076676e-10,2.123609999559833e-10,2.359937797007667e-10
-1.0587911840678754e-22,1.8602887214961456e-15,-1.4217166778255163e-25,1.8599850620432166e-15,1.754939758314437e-15,2.3594820678511673e-10,2.1231999078213725e-10,2.3594820678511673e-10
-1.3552527156068805e-20,2.1129670020096333e-14,-2.727111082010763e-24,2.1126220974942546e-14,1.9933087567413667e-14,5.890114918315564e-08,1.7149445915118258e-14,1.905793703719865e-14
-6.776263578034403e-21,1.0445849618183334e-14,3.308722450212111e-24,1.0444144512543266e-14,9.854296593481276e-15,9.421649470936328e-15,5.920017147048006e-08,9.421649464506291e-15
0.0,5.472450181298952e-12,-1.6155871338926322e-27,5.471556899259837e-12,5.162542936122153e-12,4.9358845081015284e-12,4.441597448613946e-12,4.9358845081015325e-12
2.9802322387695312e-08,-3.6087009562735895e-11,-7.73070496506989e-12,5.002220859751105e-12,203106.50766847108,-1.7291945653141738e-11,7.742073648842052e-11,8.071765478234738e-11
9.62964972193618e-35,2.2983478527398546e-22,0.0,2.297972687541731e-22,2.168191409482557e-22,2.0729982338321351e-22,1.8654050051733163e-22,2.0729982338321365e-22
