Intercept,input1,input2,input3,input4,input5,input6,input7
3.3881317890172014e-21,1.7188366050517294e-14,-8.271806125530277e-25,1.9901077628876604e-09,1.6318326452745965e-14,1.3360063520677717e-09,1.2042247731369048e-09,1.3360063520677728e-09
-5.204170427930421e-18,3.052719480099466e-14,-5.082197683525802e-21,3.052276689049671e-14,2.898197188241774e-14,2.758037765015944e-14,2.4859888665112865e-14,7.458848260472472e-06
1.1920928955078125e-07,-5.517706911282128e-10,4.94765117764473e-10,1.3108092389302328e-10,1070727.2720510145,-4.220055416226387e-10,-2.1827872842550278e-11,-2.000888343900442e-10
5.293955920339377e-22,2.7187226840573314e-15,-1.550963648536927e-25,3.1477984019689073e-10,2.581106555733111e-15,2.1131914253512915e-10,1.9047495252173942e-10,2.1131914253512918e-10
-1.0587911840678754e-22,2.7181480504715867e-15,-5.169878828456423e-26,2.717753971534163e-15,2.580561008828925e-15,2.1127447776466412e-10,1.9043469341443987e-10,2.11274477764664e-10
3.3881317890172014e-21,3.0527190324832465e-14,6.617444900424222e-24,3.0522764484280006e-14,2.898196698054543e-14,5.792031807358122e-08,2.4859886704694813e-14,2.7580371472774624e-14
3.3881317890172014e-21,1.5116899218719003e-14,-1.6543612251060553e-24,1.511470756338188e-14,1.4351713002978737e-14,1.3657650481204264e-14,5.8311595751350206e-08,1.3657650505606093e-14
-3.308722450212111e-24,5.472436053706663e-12,0.0,5.471642656334518e-12,5.195432640490397e-12,4.944176568871573e-12,4.456490717864599e-12,4.944176568871574e-12
4.470348358154297e-08,-9.139744662426529e-11,1.2369127944111824e-10,2.0236257114447653e-11,181542.51631617066,-8.731149137020111e-11,-4.9112713895738125e-11,-3.728928277269006e-11
0.0,3.6489471717788586e-22,0.0,3.6484181450220768e-22,3.4642450005138394e-22,3.2967108122788244e-22,2.971528409180094e-22,3.2967108122788253e-22
