Intercept,input1,input2,input3,input4,input5,input6,input7
3.1763735522036263e-22,1.5448915015708963e-12,-1.1632227364026952e-25,3.8334855925864695e-10,1.4527819345573689e-12,2.5316354054890577e-10,2.2735747138859027e-10,2.5316354054890577e-10
2.168404344971009e-19,1.7507018461064391e-12,4.235164736271502e-22,1.7506332930920799e-12,1.6463214488862884e-12,1.5760136207326184e-12,1.4153636456415828e-12,7.736386031400604e-07
-2.9802322387695312e-08,5.887981720858423e-11,-7.275957614183426e-12,-5.047695594839752e-11,219301.18307127326,-3.319655661471188e-11,3.2741809263825417e-11,0.0
2.117582368135751e-22,1.5150155805544813e-12,1.6802106192483375e-25,3.7593516403537673e-10,1.4246872765912262e-12,2.482677314037224e-10,2.229607135251294e-10,2.482677314037222e-10
1.0587911840678754e-22,1.5134552174007042e-12,1.0339757656912846e-25,1.5133959541619307e-12,1.4232199454557888e-12,2.482683285497606e-10,2.2296124980145485e-10,2.4826832854976055e-10
2.541098841762901e-21,1.7507018464231604e-12,1.2924697071141057e-26,1.7506332931816222e-12,1.6463214489142736e-12,6.009109609741826e-09,1.4153636457383887e-12,1.5760136208885807e-12
1.2705494208814505e-21,8.637679960307669e-13,4.1359030627651384e-25,8.637341729681265e-13,8.122683949030674e-13,7.775796488783687e-13,6.026701367779263e-09,7.775796488800748e-13
4.963083675318166e-24,5.1988401439027214e-12,-1.0097419586828951e-27,5.198636569920931e-12,4.8888747423567e-12,4.680090385670686e-12,4.203028262478371e-12,4.6800903856706815e-12
-1.043081283569336e-07,3.753611870222709e-11,-1.4551915228366852e-11,-1.1095835361629725e-10,213918.01733805687,1.4779288903810084e-12,7.275957614183426e-12,0.0
7.395570986446986e-32,5.76320088803832e-20,0.0,5.762975215057381e-20,5.4195871534351655e-20,5.1881381847123014e-20,4.6592885228784096e-20,5.188138184712294e-20
