Intercept,input1,input2,input3,input4,input5,input6,input7
3.1763735522036263e-22,1.6130635726398298e-12,1.550963648536927e-25,3.6804366687024667e-10,1.5273604775456572e-12,2.3129804986388768e-10,2.0569734144196757e-10,2.3129804986388752e-10
3.7947076036992655e-19,1.889888454187367e-12,5.293955920339377e-23,1.889817430569297e-12,1.7894774765259066e-12,1.6844881321121114e-12,1.4980443228446412e-12,8.482986738042633e-07
1.4901161193847656e-07,6.472154506331723e-11,-1.6007106751203537e-10,-1.673470251262188e-10,211469.0591549535,1.9099388737231493e-11,4.729372449219227e-11,-5.4797055781818926e-11
2.6469779601696886e-22,1.458684950422097e-12,5.169878828456423e-26,3.3281996262750155e-10,1.3811840898616296e-12,2.0916161651723933e-10,1.8601102981464335e-10,2.091616165172392e-10
1.0587911840678754e-22,1.4571757013731267e-12,2.5849394142282115e-26,1.4571209393642323e-12,1.3797550281761596e-12,2.0916033532822653e-10,1.8600989043117698e-10,2.0916033532822638e-10
0.0,1.889888454232743e-12,-1.8611563782443123e-24,1.889817430480795e-12,1.7894774768518933e-12,6.588976052671022e-09,1.4980443228343402e-12,1.6844881321817836e-12
-3.8116482626443515e-21,9.233571755663584e-13,1.2407709188295415e-24,9.233224749524512e-13,8.742986206752365e-13,8.230031780610168e-13,6.543908829627692e-09,8.230031780588067e-13
4.963083675318166e-24,5.1985070890472964e-12,-1.4136387421560532e-27,5.198311724348266e-12,4.9223070960923065e-12,4.633513410251434e-12,4.120663319839046e-12,4.633513410251427e-12
2.9802322387695312e-08,2.5162724082998684e-12,-1.0186340659856796e-10,-1.0550138540565968e-10,190622.8605065356,6.366462912410498e-12,3.2741809263825417e-11,-7.09405867382884e-11
1.4791141972893971e-31,8.46645157111192e-20,-4.513898307157584e-35,8.466133394040182e-20,8.016623606229144e-20,7.54628515841474e-20,6.711041427985856e-20,7.546285158414728e-20
