Intercept,input1,input2,input3,input4,input5,input6,input7
-2.117582368135751e-22,1.2364065358631182e-14,5.169878828456423e-26,1.7162059434367257e-10,1.1813000160008802e-14,1.4472200255178323e-10,1.3771903426022628e-10,1.4472200255178326e-10
-2.168404344971009e-19,9.853385048937139e-15,2.6469779601696886e-23,9.853211615413376e-15,9.414220628216846e-15,9.372152527614766e-15,8.918642445271774e-15,3.4658744308570287e-07
7.450580596923828e-09,-2.4254223304099396e-11,-4.774847184307873e-11,1.2391865311656147e-11,101208.60298039553,5.093170329928398e-11,-2.2112089936854318e-11,2.1827872842550278e-11
-2.117582368135751e-22,1.9850494545494692e-14,1.809457589959748e-25,2.7553669226836354e-10,1.8965759921098284e-14,2.3235103009676875e-10,2.2110777152110022e-10,2.3235103009676888e-10
-4.235164736271502e-22,1.9850809046910874e-14,2.8434333556510326e-25,1.9850459671673218e-14,1.8966060405224187e-14,2.3235471135056627e-10,2.2111127464231828e-10,2.323547113505662e-10
-1.2705494208814505e-21,9.853385020919638e-15,4.1359030627651384e-25,9.853211599800342e-15,9.414220602874746e-15,2.6913692463834648e-09,8.918642349396371e-15,9.37215242504437e-15
-1.9058241313221758e-21,5.1513577012472165e-15,8.271806125530277e-25,5.151267038181588e-15,4.921762186823837e-15,4.8997689098912024e-15,2.8605988226332876e-09,4.899768908547034e-15
-6.617444900424222e-24,5.471864922530409e-12,4.4428646182047385e-27,5.471768617466516e-12,5.227984431462305e-12,5.204622775937794e-12,4.952775733838123e-12,5.204622775937794e-12
2.9802322387695312e-08,-2.486010731404362e-11,-7.685230229981244e-11,-4.092726157978177e-11,159930.80353395725,3.5697667044587433e-11,-3.865352482534945e-12,2.091837814077735e-11
0.0,3.897446556865212e-22,1.88079096131566e-37,3.8973779616339727e-22,3.723737740281266e-22,3.7070979282289275e-22,3.527714774407551e-22,3.7070979282289257e-22
