Intercept,input1,input2,input3,input4,input5,input6,input7
8.893845946170154e-21,1.7853943308053537e-12,-9.098986738083304e-24,2.0539325637395425e-09,1.7007845812816768e-12,1.3621764604656701e-09,1.2246781291840493e-09,1.362176460465681e-09
2.905661822261152e-17,2.9633680343189903e-12,-3.176373552203626e-20,2.962925042297322e-12,2.8229341850336826e-12,2.6704646528908773e-12,2.4009075111235855e-12,7.652445371307273e-06
3.5762786865234375e-07,-9.230671988396438e-10,-9.89530235528946e-10,1.4551915228366852e-10,1102603.83661833,-6.766640581190586e-10,-2.9103830456733704e-11,7.130438461899757e-10
1.2176098616780567e-21,2.5551428488999737e-13,-1.1890721305449773e-24,2.939457693918457e-10,2.4340547549641124e-13,1.949460341531533e-10,1.7526814720973555e-10,1.9494603415315498e-10
1.1117307432712692e-21,2.552421954492041e-13,-1.0856745539758488e-24,2.55204036339083e-13,2.43146280360788e-13,1.948985854903519e-10,1.7522548802329494e-10,1.9489858549035329e-10
1.4568966692773966e-19,2.963368061770933e-12,-2.0514079191315086e-22,2.9629250337666085e-12,2.8229341951968372e-12,5.942628257959796e-08,2.4009075033150005e-12,2.6704646772008883e-12
-3.3881317890172014e-20,1.4636965061956019e-12,1.1249656330721176e-22,1.4634776811103113e-12,1.3943320006080562e-12,1.3190227254045355e-12,5.967347625636575e-08,1.319022725242408e-12
3.474158572722716e-23,5.200526908194305e-12,-3.2311742677852644e-26,5.199749421212295e-12,4.954074193788944e-12,4.686499658562375e-12,4.213443559513422e-12,4.686499658562424e-12
1.1920928955078125e-07,-1.4308332636661372e-10,-1.7462298274040222e-10,1.0186340659856796e-10,169953.54377871545,-9.640643838793039e-11,-1.4551915228366852e-11,1.1641532182693481e-10
6.409494854920721e-31,1.1809582159739962e-19,-7.2222372914521344e-34,1.1807816608565195e-19,1.12499266420125e-19,1.0642306777065089e-19,9.568070460917574e-20,1.0642306777065201e-19
