Intercept,input1,input2,input3,input4,input5,input6,input7
5.421010862427522e-20,3.030269172806459e-11,5.293955920339377e-23,1.4887041290087634e-07,7.310037226965733e-12,1.3930176761471813e-07,1.364548090872407e-07,1.393017676147181e-07
0.0,1.0517142801161513e-11,6.776263578034403e-21,9.575177461348285e-12,2.537091623280675e-12,9.425318983704263e-12,9.232690481384548e-12,2.1620079199742677e-05
5.421010862427522e-20,1.1500505024663597e-11,-3.308722450212111e-24,1.4356702865946894e-08,1.240534439443634e-07,1.3434305658032951e-08,1.315974409496895e-08,1.3434305658032978e-08
1.2705494208814505e-21,2.3073822210402106e-13,-8.271806125530277e-25,1.1335657803909434e-09,5.5661886686616165e-14,1.0607058436867302e-09,1.0390278305607128e-09,1.0607058436867293e-09
2.350988701644575e-38,7.845418340276417e-30,-3.4438311059246704e-41,7.142745353352559e-30,1.892581050013742e-30,3.606546416021105e-26,3.532838176350856e-26,3.606546416021102e-26
0.0,1.0517142797149705e-11,-9.926167350636332e-24,9.575177458649195e-12,2.537091623934096e-12,3.2288826751140166e-07,9.232690476247756e-12,9.42531898867231e-12
-2.168404344971009e-19,5.6598749859338586e-12,-2.117582368135751e-22,5.15294965908975e-12,1.365353850311649e-12,5.072302260135959e-12,1.9424741347193504e-06,5.0723022602947775e-12
3.308722450212111e-24,1.1725587010261768e-11,0.0,1.0675387659438939e-11,2.8286093633147564e-12,1.0508310102171814e-11,1.0293548124868698e-11,1.0508310102171813e-11
6.352747104407253e-22,6.903051319136989e-14,-2.5849394142282115e-26,8.617452576629246e-11,7.446171172726174e-10,8.063793824321492e-11,7.89899127382215e-11,8.063793824321501e-11
9.466330862652142e-30,6.579918362682253e-18,0.0,5.990589573692106e-18,1.5872995248972354e-18,5.8968325032706485e-18,5.776316892681084e-18,5.896832503270646e-18
