Intercept,input1,input2,input3,input4,input5,input6,input7
-7.940933880509066e-22,2.438861319369015e-13,9.822769774067204e-25,5.295544947123716e-10,6.839308224500683e-14,1.4695080399536745e-10,1.1809634334663836e-10,1.469508039953674e-10
-1.8634724839594607e-20,4.5966113039054337e-14,3.680953725860973e-23,4.306957910088955e-14,1.2890294830986854e-14,3.574936313500547e-14,2.8729812685650664e-14,2.4936811084043588e-08
8.205631676526035e-22,8.57224561916975e-14,-1.0081263715490025e-24,3.563691056727012e-11,4.064701252697265e-10,9.92510308430975e-12,7.976263822498094e-12,9.925103084309762e-12
-1.164670302474663e-21,3.9501041085144624e-13,1.6543612251060553e-24,8.576934525279916e-10,1.1077292219294928e-13,2.3800901264941403e-10,1.912748573891821e-10,2.380090126494139e-10
-2.938735877055719e-38,1.775524620033971e-29,2.7981127735637947e-41,1.6636407344917476e-29,4.9791105546336716e-30,1.069822086049895e-26,8.597576396924456e-27,1.0698220860498945e-26
-3.705769144237564e-22,4.5966113037614836e-14,3.360421238496675e-25,4.306957909390375e-14,1.2890294845785632e-14,3.724469965090354e-10,2.872981264224307e-14,3.57493631615633e-14
-6.352747104407253e-22,2.0294535422713115e-14,-6.203854594147708e-25,1.9015684398922086e-14,5.69120441288178e-15,1.5783729993087036e-14,1.8381146536407232e-09,1.57837299935911e-14
-1.3234889800848443e-23,1.4826211193274934e-11,2.9888361977013695e-26,1.3891944161738507e-11,4.157720135491786e-12,1.1530833765004361e-11,9.266701959846947e-12,1.1530833765004361e-11
1.641126335305207e-21,1.3673886191967288e-13,-1.5509636485369269e-24,5.684567159864258e-11,6.483745893776569e-10,1.5831876038982892e-11,1.2723214965056204e-11,1.5831876038983102e-11
-6.162975822039155e-33,8.187224056302949e-21,1.504632769052528e-35,7.671309813891825e-21,2.2959464065987357e-21,6.3674743573662134e-21,5.117191723443282e-21,6.367474357366208e-21
