Intercept,input1,input2,input3,input4,input5,input6,input7
-5.082197683525802e-21,1.5779210547344547e-09,-3.618915179919496e-24,5.876837087208781e-09,1.688870166286002e-22,5.827709790799055e-09,5.78882926466487e-09,5.8277097907990586e-09
-2.710505431213761e-20,2.484292522116639e-10,1.6543612251060553e-23,6.876068088817754e-22,2.9778502051908996e-23,5.925094727717337e-21,5.875050300657879e-21,6.959951113849648e-08
0.0,1.617102030246377e-10,2.0679515313825692e-25,5.912707860785327e-10,5.91337706276215e-10,5.863280703396631e-10,5.824162860057827e-10,5.86328070339663e-10
-3.3881317890172014e-21,2.6309945956920223e-09,-8.271806125530277e-24,9.798922810375188e-09,2.815903750889502e-22,9.7170089205978e-09,9.652180294457235e-09,9.717008920597811e-09
1.1754943508222875e-38,1.0346761064425847e-26,-7.174648137343063e-42,2.827842441523217e-38,1.1165546163740142e-39,3.821352188520003e-26,3.795857407728371e-26,3.821352188520005e-26
-1.0587911840678754e-22,2.48429252211683e-10,-5.169878828456423e-25,6.793101631040615e-22,2.665072536069286e-23,1.0394142945952155e-09,5.891328956618981e-21,5.930548949881359e-21
-1.6940658945086007e-21,1.3557274997357042e-10,-1.6543612251060553e-24,3.6946700606277216e-22,1.5121895573235037e-23,3.2363958454020053e-21,6.341088827443586e-09,3.233242219316647e-21
8.271806125530277e-25,9.479091430963724e-12,-1.5259455839468861e-27,2.5909903316604456e-23,1.0077226727865192e-24,2.262874093505717e-22,2.247787432730087e-22,2.2628556685202356e-22
8.470329472543003e-22,2.6521501742172253e-10,2.5849394142282115e-25,9.697216928661084e-10,9.698314462463052e-10,9.61615324707043e-10,9.55199749617436e-10,9.616153247070434e-10
-1.6543612251060553e-24,9.478861858103129e-12,1.3541783829752878e-27,2.590914708193149e-23,1.0073435287017822e-24,2.2628179856558257e-22,2.2477484534099004e-22,2.2628165978850655e-22
