Intercept,input1,input2,input3,input4,input5,input6,input7
4.235164736271502e-22,8.93508589062486e-16,-5.169878828456423e-25,1.0630217907455135e-09,1.4858562604549266e-16,8.818004837256001e-10,8.343523588083857e-10,8.818004837255987e-10
1.0842021724855044e-19,1.8379336909769017e-15,-2.2499312661442353e-22,1.5738227988269002e-15,3.056382534023337e-16,1.5273402503625842e-15,1.4451564882259866e-15,5.89297168158749e-07
4.235164736271502e-22,2.1333640446584417e-16,-1.809457589959748e-25,8.972271909604585e-11,5.206187790907794e-10,7.442703007923699e-11,7.042224318515812e-11,7.442703007923696e-11
0.0,1.4196003808949339e-15,-4.1359030627651384e-25,1.688921804420474e-09,2.360718342325381e-16,1.4009986221150025e-09,1.3256133633656515e-09,1.400998622115001e-09
-5.877471754111438e-39,3.239065106553501e-32,-1.1479437019748901e-41,2.7736120157310026e-32,5.386389375002349e-33,3.196621961778038e-26,3.0246173859643213e-26,3.196621961778035e-26
8.470329472543003e-22,1.837933640470473e-15,-3.308722450212111e-24,1.5738228957621283e-15,3.056383809949432e-16,8.800694071556894e-09,1.445156584592528e-15,1.5273400540105863e-15
1.0164395367051604e-20,9.554013213011796e-16,6.617444900424222e-24,8.181103279482242e-16,1.588780476714667e-16,7.939474585016012e-16,5.114207541966626e-08,7.939474254143767e-16
6.617444900424222e-24,1.1729994763560936e-11,-4.8467614016778965e-27,1.0044396555846748e-11,1.950634434617586e-12,9.747735406605338e-12,9.223226999353796e-12,9.747735406605331e-12
4.235164736271502e-22,3.3367382027741295e-16,-2.8434333556510326e-25,1.4033292878705667e-10,8.142860446877658e-10,1.1640934667574051e-10,1.101455655545675e-10,1.1640934667574053e-10
0.0,2.6325813101178355e-23,-1.7632415262334313e-38,2.2542798336515874e-23,4.377839768009936e-24,2.1876997018891123e-23,2.069983449003853e-23,2.187699701889111e-23
