Intercept,input1,input2,input3,input4,input5,input6,input7
5.421010862427522e-20,1.423094627409914e-11,0.0,5.007163333930951e-08,3.1149044020239333e-12,4.81994414919634e-08,4.7639907010996475e-08,4.819944149196339e-08
6.071532165918825e-18,9.013079690653234e-12,8.470329472543003e-22,8.097157022375788e-12,1.9728049777150607e-12,8.019002232750964e-12,7.925911769824236e-12,1.2170853434370632e-05
0.0,3.6169885351665367e-12,4.963083675318166e-24,3.5999228175270673e-09,2.781381358642188e-08,3.46538538798105e-09,3.425156651829865e-09,3.465385387981067e-09
4.235164736271502e-22,3.6027426021594493e-13,-2.0679515313825692e-25,1.2676262218742083e-09,7.885771314566841e-14,1.2202293362565015e-09,1.2060640188339582e-09,1.2202293362564998e-09
0.0,1.095508430156896e-29,1.1479437019748901e-41,9.841812212599126e-30,2.397875703982277e-30,3.71042750540207e-26,3.6673541405634584e-26,3.7104275054020665e-26
1.2197274440461925e-19,9.013079691428453e-12,-9.26442286059391e-23,8.097157022193808e-12,1.9728049748100024e-12,1.8177008162359772e-07,7.925911775766701e-12,8.019002237217739e-12
1.0842021724855044e-19,4.894168971617804e-12,5.293955920339377e-22,4.396816184521896e-12,1.0712477004857317e-12,4.354377558231034e-12,1.1033572759403646e-06,4.3543775577545776e-12
-3.308722450212111e-24,1.1725617403756497e-11,-1.6155871338926322e-27,1.0534042585832523e-11,2.566531878059836e-12,1.043236667291779e-11,1.0311260106308273e-11,1.0432366672917786e-11
3.1763735522036263e-22,9.956876921218977e-14,0.0,9.909898267981238e-11,7.656610351312417e-10,9.539542483255671e-11,9.42880047490851e-11,9.539542483255696e-11
-9.860761315262648e-32,2.710969984783741e-19,-4.81482486096809e-35,2.435477151034862e-19,5.93383755142976e-20,2.4119696171800535e-19,2.3839697041918124e-19,2.4119696171800544e-19
