Intercept,input1,input2,input3,input4,input5,input6,input7
8.470329472543003e-22,6.915805139716488e-11,1.4475660719677984e-24,2.967036765795164e-09,2.8625233834531628e-12,2.896244871826278e-09,2.8752865592465405e-09,2.8962448718262794e-09
0.0,1.4368587019049598e-11,2.150669592637872e-23,7.648912355169512e-12,5.947307001824081e-13,7.685303656701361e-12,7.629689921184957e-12,7.554124907562037e-08
5.293955920339377e-22,9.070836710222321e-12,1.809457589959748e-25,2.8785470377853875e-10,5.805865027546543e-10,2.810230698015503e-10,2.7898948162110546e-10,2.8102306980155043e-10
1.6940658945086007e-21,1.1282623241141409e-10,4.963083675318166e-24,4.840500461592489e-09,4.669994628533348e-12,4.7250087361835654e-09,4.690816803381802e-09,4.725008736183566e-09
4.70197740328915e-38,9.095050264805914e-28,-1.7219155529623352e-41,4.841620282436874e-28,3.764535514044702e-29,3.808883008743396e-26,3.781320504808235e-26,3.808883008743398e-26
1.0587911840678754e-22,1.4368587019062304e-11,0.0,7.648912355178588e-12,5.947307001616704e-13,1.1357200358206884e-09,7.629689921197882e-12,7.685303656719081e-12
8.470329472543003e-22,7.83676399357353e-12,-3.308722450212111e-24,4.171789533344968e-12,3.243717792647037e-13,4.1916376952593625e-12,6.881978931345129e-09,4.1916376952572945e-12
9.926167350636332e-24,1.1188422689482973e-11,8.077935669463161e-28,5.9559972341763985e-12,4.631004044440312e-13,5.984334137680322e-12,5.941029254637043e-12,5.984334137680319e-12
1.2705494208814505e-21,1.4561388011556953e-11,1.550963648536927e-25,4.620923258322378e-10,9.32013838520103e-10,4.511255235107096e-10,4.4786101026930167e-10,4.5112552351070984e-10
2.3665827156630354e-30,1.822590414590823e-18,5.7777898331617076e-34,9.702300109329358e-19,7.543890515740119e-20,9.748460832908374e-19,9.677917319376432e-19,9.748460832908368e-19
