Intercept,input1,input2,input3,input4,input5,input6,input7
3.3881317890172014e-21,8.852677750257333e-10,-2.481541837659083e-24,6.115473662206847e-09,1.0812025002217786e-17,4.181205462271299e-09,3.0375667964308527e-09,4.181205462271285e-09
6.776263578034403e-21,1.5748920433570848e-10,-3.970466940254533e-23,5.2723734546688885e-17,1.9234300502749075e-18,2.4640290261561e-16,1.790071040661404e-16,5.708798789849034e-08
-2.117582368135751e-22,8.70576956849754e-11,0.0,5.87879773104474e-10,5.879491732058115e-10,4.0193879823883967e-10,2.9200094536000156e-10,4.019387982388397e-10
1.6940658945086007e-21,1.418472031408193e-09,-3.308722450212111e-24,9.798875089971167e-09,1.732419578930512e-17,6.6995808196346125e-09,4.867118928107492e-09,6.699580819634587e-09
1.7632415262334313e-38,5.57837077873639e-27,-5.739718509874451e-42,1.8675093294525456e-33,6.813016813896017e-35,2.634718559584871e-26,1.914073270675318e-26,2.634718559584867e-26
-1.0587911840678754e-22,1.574892043356392e-10,1.9387045606711586e-25,5.2723738120367626e-17,1.9234593376384707e-18,8.525647176798021e-10,1.7900707008064945e-16,2.4640292305601844e-16
0.0,6.285675633043665e-11,8.271806125530277e-25,2.1042985609414276e-17,7.67688348256839e-19,9.834381143555097e-17,3.803942066040013e-09,9.834381084101491e-17
-2.895132143935597e-24,7.012700289662605e-12,2.3822921410334132e-27,2.347689623997407e-18,8.564799860630907e-20,1.0971862255477522e-17,7.970850697529493e-18,1.0971862257420529e-17
4.235164736271502e-22,1.373024101190834e-10,-7.237830359838992e-25,9.271702986440813e-10,9.272797525079943e-10,6.339148456014672e-10,4.6052716235513936e-10,6.339148456014671e-10
-8.271806125530277e-25,2.1801056046451757e-12,4.814740120050537e-28,7.29848859320805e-19,2.662621699701491e-20,3.4109283737892667e-18,2.4779750398132753e-18,3.410928374986542e-18
