Intercept,input1,input2,input3,input4,input5,input6,input7
-4.85722573273506e-17,6.372443375864215e-08,5.336307567702092e-20,5.590650845982061e-05,1.2192619535299494e-09,4.283858948822975e-06,3.1811749567777727e-06,4.283858948822922e-06
2.498001805406602e-16,3.8111241699434164e-08,2.168404344971009e-19,3.3205774203418285e-09,7.291957614376991e-10,2.4438475725083972e-08,1.814790540176669e-08,0.0003592178082994441
-4.163336342344337e-17,3.111572561174065e-08,3.3881317890172014e-20,1.4573394003863208e-05,6.179890975277747e-05,1.1258971312933245e-06,8.360862952694419e-07,1.125897131293333e-06
4.235164736271502e-22,2.6340105724981328e-12,1.137373342260413e-24,2.3108614022740287e-09,5.0397448620376647e-14,1.770706948142854e-10,1.3149192507312085e-10,1.7707069481428377e-10
2.204051907791789e-39,4.392882114023237e-29,2.107552890344525e-42,3.8274547111429755e-30,8.405055505211108e-31,2.953103895211517e-27,2.1929620625793534e-27,2.9531038952115156e-27
-4.336808689942018e-19,3.8111241699453573e-08,1.9058241313221758e-21,3.320577420560641e-09,7.29195761556919e-10,5.3887106812233514e-06,1.814790540195522e-08,2.4438475725114518e-08
-1.734723475976807e-18,1.554827953704847e-08,2.117582368135751e-21,1.3546991296368255e-09,2.974906886354799e-10,9.970188193544245e-09,2.447242113075808e-05,9.970188193542022e-09
3.308722450212111e-24,1.1676921553687563e-11,4.947735597546186e-27,1.0173933024439242e-12,2.234186377899693e-13,7.487716254019726e-12,5.560345407098501e-12,7.487716254019724e-12
1.0587911840678754e-22,4.3832194724175343e-13,3.101927297073854e-25,2.0529292864325215e-10,8.705507561755761e-10,1.5860321855908862e-11,1.1777805781470705e-11,1.5860321855908888e-11
2.5849394142282115e-26,2.2627514408287662e-14,-1.5777218104420236e-30,1.971502634842582e-15,4.32940173694679e-16,1.4509681052836723e-14,1.0774825816522217e-14,1.450968105283671e-14
