Intercept,input1,input2,input3,input4,input5,input6,input7
5.421010862427522e-20,5.18033915437101e-16,-5.293955920339377e-23,8.539653343049917e-08,1.3406757490436074e-16,5.93018060341792e-08,5.377896694531425e-08,5.930180603417923e-08
3.469446951953614e-17,1.6933377346363722e-15,-2.710505431213761e-20,1.5579061952704192e-15,4.381989692046358e-16,1.4508928997472581e-15,1.3158013090555642e-15,0.0001064179114347402
-1.3552527156068805e-20,1.6419699069665898e-16,8.271806125530277e-25,6.24280612001156e-09,5.863185016383393e-08,4.335183936832546e-09,3.931443732192633e-09,4.335183936832572e-09
8.470329472543003e-22,6.329824801130521e-18,-8.271806125530277e-25,1.0434550091257538e-09,1.638163266106704e-18,7.246051340822721e-10,6.57121901679616e-10,7.246051340822729e-10
-1.7632415262334313e-38,2.3376567950971046e-34,-2.2958874039497803e-41,2.1507372481508037e-34,6.049873992950224e-35,2.6760269431371135e-26,2.4268057609711772e-26,2.676026943137118e-26
-8.673617379884035e-19,1.693322479334863e-15,-2.117582368135751e-22,1.5579236917947359e-15,4.3823336751040883e-16,1.589268324384954e-06,1.315796015099644e-15,1.4509211694718727e-15
-6.938893903907228e-18,8.436454809224083e-16,-1.6940658945086007e-21,7.76189546765674e-16,2.1833690679560527e-16,7.228803635599221e-16,8.851647085864902e-06,7.228829046587639e-16
-3.308722450212111e-24,1.173001332598442e-11,-6.462348535570529e-27,1.0792079297607174e-11,3.0357358044410335e-12,1.0050839419990766e-11,9.114794254812546e-12,1.0050839419990771e-11
2.117582368135751e-22,2.039292979447948e-18,3.877409121342317e-26,7.753437405866831e-11,7.281955766305418e-10,5.3842097048960155e-11,4.8827726356151085e-11,5.3842097048960427e-11
9.62964972193618e-35,8.202493010779668e-23,-3.5264830524668625e-38,7.546620157225922e-23,2.1228110340967115e-23,7.028290403755726e-23,6.373738383073843e-23,7.028290403755731e-23
