Intercept,input1,input2,input3,input4,input5,input6,input7
1.6940658945086007e-21,1.3688805237138912e-10,0.0,4.66326478344037e-09,2.5771042478554563e-12,4.5022476481321144e-09,4.453002053539101e-09,4.502247648132114e-09
0.0,3.557153221890479e-11,1.6543612251060553e-23,1.170225972752051e-11,6.696825997260743e-13,1.2119067620686053e-11,1.1986509232636996e-11,1.1461071238821072e-07
2.117582368135751e-22,1.5507720279893652e-11,2.0679515313825692e-25,4.589334477659032e-10,6.639764816821802e-10,4.431344477895713e-10,4.3828744223333623e-10,4.4313444778957087e-10
6.776263578034403e-21,1.9863258840592639e-10,-3.308722450212111e-24,6.766670562628037e-09,3.739529334192817e-12,6.533025260427292e-09,6.46156701588262e-09,6.533025260427286e-09
2.350988701644575e-38,1.1422275662404917e-27,-5.739718509874451e-42,3.757680036345713e-28,2.150399148780721e-29,3.7567861362989086e-26,3.715694401347909e-26,3.7567861362989075e-26
5.293955920339377e-22,3.557153221891741e-11,-2.0679515313825692e-25,1.1702259727560784e-11,6.696825997302102e-13,1.723559479899229e-09,1.1986509232590053e-11,1.211906762065259e-11
6.776263578034403e-21,1.9328712985811723e-11,-3.308722450212111e-24,6.35872579700483e-12,3.6388937878957896e-13,6.585209156958652e-12,1.040254561791909e-08,6.585209156962995e-12
0.0,1.122290488037185e-11,0.0,3.69209138924815e-12,2.1128648804227585e-13,3.823595292671737e-12,3.781772799022636e-12,3.82359529267173e-12
2.117582368135751e-22,2.2189293433356894e-11,2.0679515313825692e-25,6.566670506730128e-10,9.500538260285747e-10,6.34060978336065e-10,6.271256179723723e-10,6.340609783360648e-10
1.5777218104420236e-30,3.6761985237137556e-18,0.0,1.2093892855056087e-18,6.920945011127547e-20,1.2524649829993904e-18,1.2387655182841765e-18,1.252464982999389e-18
