Intercept,input1,input2,input3,input4,input5,input6,input7
-2.0328790734103208e-20,3.4474392658617036e-09,-6.617444900424222e-24,1.714588580890182e-08,1.8043411772612653e-13,1.559927233669989e-08,1.4945667032051733e-08,1.5853732030268072e-08
8.673617379884035e-19,1.7928133447303892e-09,1.1117307432712692e-21,1.2851095922990906e-11,9.383332567432518e-14,9.216102858807679e-11,5.783912137402236e-11,6.296638332724215e-07
2.117582368135751e-21,3.210248753216283e-10,2.481541837659083e-24,1.5498363273623593e-09,1.5591611600418527e-09,1.4104589881407233e-09,1.3512010807820479e-09,1.4332970089449677e-09
-3.3881317890172014e-21,1.9585955808256863e-09,3.308722450212111e-24,9.741101607561765e-09,1.0251013530342533e-13,8.862423238403309e-09,8.491090094418793e-09,9.006989565142168e-09
-1.1754943508222875e-38,7.759359604614193e-27,4.0178029569121155e-41,5.561999796634306e-29,4.061139577009621e-31,3.511022364610363e-26,3.3639114742614123e-26,3.5682951434763235e-26
-2.1175823681357508e-20,1.8301942953739579e-09,-6.617444900424222e-24,1.3119046954121385e-11,9.57897928043278e-14,9.692752321599836e-09,5.904509261940055e-11,6.263253918899218e-11
-1.0164395367051604e-20,9.285295184340171e-10,2.9778502051908996e-23,6.655808282942418e-12,4.8597927746905284e-14,4.773181533092117e-11,5.446957062466373e-08,3.177594947071072e-11
9.926167350636332e-24,8.743338084771429e-12,1.6105384240992177e-26,6.267327089788378e-14,4.576140060828047e-16,4.4945840767889127e-13,2.820745361970095e-13,2.9921274840654415e-13
1.2705494208814505e-21,1.9967548566523134e-10,1.6543612251060553e-24,9.639886038664511e-10,9.69788592082813e-10,8.772967614603889e-10,8.404387098234436e-10,8.915018690588316e-10
2.398137151871876e-28,1.4526685764634126e-16,2.442079169483015e-31,1.0412898407315107e-18,7.603062815822283e-21,7.467561003955818e-18,4.6865489013581835e-18,4.971293035602702e-18
