Intercept,input1,input2,input3,input4,input5,input6,input7
4.912791094074942e-20,2.5675152672670746e-14,-4.7976475528075605e-23,7.76574743251076e-09,5.7712511539575454e-15,7.16046526903234e-09,6.982471508319342e-09,7.160465269032365e-09
4.7704895589362195e-18,2.26555750158173e-14,-5.346895479542771e-21,2.0451534649066743e-14,5.092509939081709e-15,2.0083142312023294e-14,1.958392338708348e-14,2.641559556969657e-06
-8.470329472543003e-22,6.785010817427216e-15,5.37667398159468e-24,5.618102397017069e-10,4.481375006456652e-09,5.180215831528085e-10,5.051446811287642e-10,5.180215831528077e-10
8.046812998915853e-21,4.061929041217782e-15,-7.444625512977249e-24,1.228577505589416e-09,9.130388810595993e-16,1.132819040992575e-09,1.1046595969148844e-09,1.1328190409925794e-09
1.5869173736100881e-37,1.2740717021237631e-31,-1.4421042756059557e-40,1.1501241316370883e-31,2.8638535796466604e-32,3.5532198344362923e-26,3.4648944341712246e-26,3.553219834436303e-26
-2.710505431213761e-20,2.2655574447186983e-14,1.819797347616661e-23,2.045153569875894e-14,5.092511530577207e-15,3.9449646922982155e-08,1.9583921864657562e-14,2.0083145672651328e-14
7.318364664277155e-19,1.2137237769975665e-14,-6.220398206398768e-22,1.095647117556171e-14,2.728203503049815e-15,1.075911371646132e-14,2.3626161921829616e-07,1.0759114052296648e-14
4.301339185275744e-23,1.172995649219747e-11,-2.50416005753358e-26,1.058881223623816e-11,2.6366552128217125e-12,1.0398077765242478e-11,1.0139603923657584e-11,1.0398077765242486e-11
1.0587911840678754e-22,1.1506708642543368e-15,7.754818242684634e-25,9.527747140934669e-11,7.59996968511887e-10,8.785134746648929e-11,8.566755198229103e-11,8.785134746648904e-11
2.311115933264683e-33,7.488630817013863e-22,-2.162909605513009e-36,6.760102280056388e-22,1.6832916212187837e-22,6.638333709276512e-22,6.473319015763189e-22,6.638333709276529e-22
