Intercept,input1,input2,input3,input4,input5,input6,input7
4.235164736271502e-22,3.1627172847277924e-12,-1.2407709188295415e-24,1.4205926139099947e-09,6.754215224854845e-13,1.2918780957983232e-09,1.254444447482766e-09,1.2918780957983232e-09
5.421010862427522e-20,1.8769264610749453e-12,1.3462364469300525e-22,1.6836724169014046e-12,4.008314412617804e-13,1.64970556404443e-12,1.6019034547996943e-12,3.092273053567422e-07
1.0587911840678754e-22,8.838123979825027e-13,2.5849394142282115e-25,1.1244996155767663e-10,8.532641664149079e-10,1.0230139848745088e-10,9.933709822907181e-11,1.0230139848745028e-10
1.6940658945086007e-21,2.8614463805888147e-12,-4.1359030627651384e-25,1.2852712485536377e-09,6.110829065306038e-13,1.1688176870043933e-09,1.1349498550606298e-09,1.168817687004393e-09
-1.1754943508222875e-38,8.59650301647406e-29,5.739718509874451e-42,7.711380979414864e-29,1.8358464044410476e-29,3.5114216503233746e-26,3.4096741839228284e-26,3.5114216503233786e-26
-8.470329472543003e-22,1.876926461091785e-12,-4.1359030627651384e-25,1.6836724170405164e-12,4.008314413904393e-13,4.61969315845585e-09,1.6019034547343665e-12,1.649705564012467e-12
3.3881317890172014e-21,1.0012764578726524e-12,-9.926167350636332e-24,8.98181995348675e-13,2.138299470751678e-13,8.800618340198493e-13,2.754125442049e-08,8.80061834022433e-13
9.926167350636332e-24,1.1373497432303086e-11,-3.2311742677852644e-27,1.0202447623274559e-11,2.428893973165793e-12,9.996620744227876e-12,9.706957202055813e-12,9.996620744227876e-12
4.235164736271502e-22,7.970946242810344e-13,-2.5849394142282115e-26,1.0141661291789957e-10,7.695437195648148e-10,9.226380505288253e-11,8.959035556733276e-11,9.226380505288166e-11
-4.930380657631324e-32,1.7891251375183054e-19,-9.62964972193618e-35,1.6049113841772903e-19,3.8208082338993095e-20,1.5725334770760464e-19,1.52696751745744e-19,1.5725334770760437e-19
