Intercept,input1,input2,input3,input4,input5,input6,input7
-1.5881867761018131e-22,1.395665690149178e-16,1.0339757656912846e-25,3.7830642078876126e-10,5.201781782352961e-17,1.8804502290878247e-10,1.6077756528703568e-10,1.8804502290878223e-10
-5.421010862427522e-19,1.2671700408564363e-15,-2.6469779601696886e-22,1.2161229350438212e-15,4.722868043152603e-16,1.0605918702346197e-15,9.068005978641886e-16,1.757454119630948e-06
-7.940933880509066e-23,6.127258049007288e-17,-1.2924697071141057e-25,2.4221095512482327e-11,3.772246942552652e-10,1.2039614811205003e-11,1.0293811164990447e-11,1.2039614811205197e-11
1.0587911840678754e-22,2.321442705643515e-16,5.169878828456423e-26,6.29245734270156e-10,8.652242774361724e-17,3.1277959350881916e-10,2.6742500672411044e-10,3.1277959350881906e-10
5.877471754111438e-39,1.4216760395164788e-32,2.8698592549372254e-42,1.364404299548018e-32,5.298724896412243e-33,1.9154952760885256e-26,1.6377389948667878e-26,1.9154952760885247e-26
6.776263578034403e-21,1.2671703300645142e-15,3.308722450212111e-24,1.2161228109667293e-15,4.722866976089612e-16,2.6246204561819915e-08,9.068004117485508e-16,1.0605914030843687e-15
-4.0657581468206416e-20,5.952171462107008e-16,-1.9852334701272664e-23,5.71239026245745e-16,2.2184323111362772e-16,4.981826049442678e-16,1.3782005702800965e-07,4.981826223150607e-16
-3.308722450212111e-24,1.1385904392945088e-11,-4.8467614016778965e-27,1.0927227071995734e-11,4.243637323724764e-12,9.52973099715048e-12,8.147872907572131e-12,9.529730997150476e-12
-1.5881867761018131e-22,1.0025054015383546e-16,-2.0679515313825692e-25,3.962911122327075e-11,6.171925360313352e-10,1.9698499359481682e-11,1.6842119604314483e-11,1.969849935948216e-11
-4.513898307157584e-36,4.610133754864382e-24,2.204051907791789e-39,4.424416070355313e-24,1.718241695550152e-24,3.858572233573531e-24,3.299060191021615e-24,3.858572233573531e-24
