Intercept,input1,input2,input3,input4,input5,input6,input7
-8.131516293641283e-20,3.448719021370538e-10,5.293955920339377e-23,7.449863937826334e-08,4.382338211422786e-11,7.198757921956397e-08,7.123736059148384e-08,7.198757921956393e-08
-8.673617379884035e-19,2.1358862580580591e-10,4.235164736271502e-21,1.723558770121966e-10,2.7141022235130488e-11,1.71300362866041e-10,1.6951515596208061e-10,1.0913188009409777e-05
-6.776263578034403e-21,6.298872018496593e-11,1.6543612251060553e-23,5.937540891279231e-09,2.6752104375707354e-08,5.738202574925665e-09,5.67840189111217e-09,5.738202574925642e-09
0.0,1.002321697193893e-11,2.0679515313825692e-24,2.1651982141062176e-09,1.2736649888057923e-12,2.092217780953296e-09,2.070413731278498e-09,2.0922177809532935e-09
-4.70197740328915e-38,1.790596162584731e-28,3.156845180430948e-41,1.4449260620490593e-28,2.27533699785362e-29,3.737639462814056e-26,3.6986876494533335e-26,3.73763946281405e-26
-1.3552527156068805e-19,2.1358862580115362e-10,-2.150669592637872e-23,1.7235587701240092e-10,2.7141022233898816e-11,1.6314867446976633e-07,1.6951515596545075e-10,1.7130036286658776e-10
3.2526065174565133e-19,1.1611951717477088e-10,-1.3234889800848443e-23,9.370293547161262e-11,1.4755478600880847e-11,9.312909502224896e-11,9.906045076049488e-07,9.312909502187424e-11
-1.6543612251060553e-23,1.1356311080354837e-11,9.693522803355793e-27,9.164003694198307e-12,1.4430632266610453e-12,9.107882976415514e-12,9.012965164963058e-12,9.107882976415501e-12
0.0,2.0051606218735415e-12,5.169878828456423e-25,1.8901357498605234e-10,8.51617021093564e-10,1.826679095842306e-10,1.8076423578371853e-10,1.8266790958423004e-10
-2.524354896707238e-29,1.8275856234192905e-17,6.162975822039155e-33,1.4747748001946072e-17,2.322340052213829e-18,1.4657432215182122e-17,1.450467977084568e-17,1.4657432215182107e-17
