Intercept,input1,input2,input3,input4,input5,input6,input7
2.6469779601696886e-23,1.462419287367299e-13,1.9387045606711586e-26,1.265928162735598e-10,3.4244164024880846e-14,3.202394422711324e-11,2.5560990666489666e-11,3.202394422711321e-11
4.235164736271502e-21,2.316564197022348e-14,-3.9291079096268815e-24,2.1672882545128655e-14,5.424491116041814e-15,1.7886045882401317e-14,1.4276350489810606e-14,1.1159105245528348e-08
3.970466940254533e-23,4.4025057129129585e-14,-3.877409121342317e-26,9.239540667905885e-12,1.0947622087849057e-10,2.3551855924061545e-12,1.8798707778905e-12,2.355185592406165e-12
7.940933880509066e-23,2.3657723181337256e-13,0.0,2.047906390469703e-10,5.539717371588523e-14,5.180549889105191e-11,4.1350305391360325e-11,5.180549889105186e-11
0.0,1.3605899357374743e-29,-1.0761972206014595e-42,1.2729155490616517e-29,3.1859717204557986e-30,2.979409297620977e-27,2.3781159718503393e-27,2.9794092976209787e-27
6.617444900424222e-24,2.316564197030379e-14,-6.462348535570529e-27,2.167288254415284e-14,5.424491117061654e-15,5.364300781284624e-11,1.4276350492980388e-14,1.7886045886086067e-14
-4.764560328305439e-22,1.0158370537786669e-14,1.0339757656912846e-25,9.503780287548974e-15,2.378694741670899e-15,7.843213746957337e-15,8.135194792877e-10,7.843213747403239e-15
-6.617444900424222e-24,8.407303136285045e-12,4.0389678347315804e-27,7.865549058358224e-12,1.968662955234234e-12,6.491225663703958e-12,5.18119059374131e-12,6.491225663703958e-12
5.293955920339377e-23,7.01403559857038e-14,-6.462348535570529e-27,1.4720359582740876e-11,1.7441660738489874e-10,3.7522621578727024e-12,2.994994536444523e-12,3.752262157872755e-12
3.0814879110195774e-33,4.797353811309353e-21,-1.034435028723613e-36,4.48821948506891e-21,1.1233534200421054e-21,3.704006584874905e-21,2.9564777240788584e-21,3.7040065848749096e-21
