Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,2.2794845190044298e-06,2.964615315390051e-21,1.152679941513607e-05,3.673013686976652e-12,4.502510045876791e-06,2.603118284498238e-06,4.502510045876791e-06
-1.1102230246251565e-16,7.381591728217784e-07,0.0,5.455163910181239e-12,1.1894219197885678e-12,6.348969557013438e-11,3.670645615260794e-11,0.000326961840786766
-1.734723475976807e-18,6.795107508491828e-07,-1.6940658945086007e-21,3.1515784354506815e-06,1.6322433381371308e-05,1.2310500920632024e-06,7.117294511574856e-07,1.2310500920632005e-06
-2.117582368135751e-22,9.295664082395801e-11,1.550963648536927e-25,4.700591489652184e-10,1.4978430920696193e-16,1.8361090222434536e-10,1.0615432102169513e-10,1.8361090222434528e-10
-2.938735877055719e-39,2.3266085899683693e-27,-3.587324068671532e-43,1.719416580582539e-32,3.7489463647164856e-33,4.595591003939357e-27,2.656932877114904e-27,4.595591003939358e-27
-6.505213034913027e-19,7.381591728217783e-07,2.117582368135751e-22,5.455163908209241e-12,1.189421873400279e-12,1.5712820451088216e-06,3.6706456074945605e-11,6.348969549726308e-11
-5.204170427930421e-18,2.3445855407834035e-07,4.235164736271502e-21,1.7327019526506041e-12,3.7779132739309824e-13,2.0165978767944074e-11,1.7265118627710883e-05,2.0165978774932096e-11
2.0679515313825692e-25,3.289809319099353e-12,-4.519864838125296e-28,2.431243791803536e-17,5.300985620378103e-18,2.8295928521019356e-16,1.6359241436247187e-16,2.8295928521112087e-16
1.3234889800848443e-22,9.391609783810214e-12,-1.2924697071141057e-25,4.355839084493507e-11,2.255945543885897e-10,1.70145094459989e-11,9.836908788511703e-12,1.7014509445998884e-11
8.271806125530277e-25,3.265337317808508e-12,-4.856424947766854e-28,2.4131584270927105e-17,5.261553022897059e-18,2.8085442765717586e-16,1.6237549466057744e-16,2.8085442765846175e-16
