Intercept,input1,input2,input3,input4,input5,input6,input7
8.470329472543003e-22,8.407087857764705e-10,4.1359030627651384e-25,1.4599510465150333e-09,6.953487024273889e-23,1.4477127081980044e-09,1.4367303974444247e-09,1.4477127081980042e-09
2.0328790734103208e-20,9.055899346765364e-11,-9.098986738083304e-24,2.5022213529729087e-22,3.308722450212111e-24,2.2557215304321065e-21,2.2395915084873224e-21,3.425269804982924e-08
1.5881867761018131e-22,8.685895731196266e-11,-1.2924697071141057e-25,1.4861458287708833e-10,1.4863812292658066e-10,1.4736879073330783e-10,1.4625085493979864e-10,1.4736879073330775e-10
0.0,1.401676620898955e-09,4.1359030627651384e-25,2.4341118877056433e-09,1.1714945425282254e-22,2.4137074468482933e-09,2.3953971252634857e-09,2.4137074468482917e-09
-2.938735877055719e-39,6.774887274649649e-27,2.8698592549372254e-42,1.898483643622348e-38,5.617749491539619e-40,1.1666454032665514e-26,1.1577952617396065e-26,1.1666454032665518e-26
2.6469779601696886e-23,9.055899346764921e-11,4.52364397489937e-26,2.5375380877198017e-22,7.599721877830942e-24,1.6460173172076859e-10,2.2467841024074124e-21,2.2638592428255237e-21
-6.352747104407253e-22,4.937434299645292e-11,1.2407709188295415e-24,1.3834595744949388e-22,4.1359030627651384e-24,1.2343602690822555e-21,3.1047079630563882e-09,1.234670461811963e-21
-6.203854594147708e-25,2.70395276356882e-12,8.419760053995625e-28,7.576194316683478e-24,2.2624256904455348e-25,6.75964051674818e-23,6.708432288136417e-23,6.759568920640722e-23
2.117582368135751e-22,1.4244339585234063e-10,0.0,2.437188577127439e-10,2.437574619591225e-10,2.416758345292065e-10,2.398424879671429e-10,2.416758345292062e-10
2.0679515313825692e-25,2.7038954578736467e-12,6.841548310791265e-28,7.575426749403471e-24,2.248883406478421e-25,6.75948424172547e-23,6.708237734399491e-23,6.759481419695411e-23
