Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,6.108225307924718e-12,9.719372197498075e-24,1.1992552393836161e-08,1.1438926432040442e-12,1.1499716370355802e-08,1.134931547501491e-08,1.1499716370355802e-08
-1.734723475976807e-18,2.7854865094687672e-12,8.470329472543003e-22,2.5009579012646088e-12,5.216404711357931e-13,2.476482882665509e-12,2.4440938027296683e-12,5.938233528682211e-06
4.235164736271502e-21,1.3484413383418813e-12,-2.5849394142282115e-24,9.149294435120863e-10,7.330454222609579e-09,8.773550764630901e-10,8.658804465868172e-10,8.773550764630899e-10
1.0587911840678754e-22,1.546350737636295e-13,2.455692443516801e-25,3.0360196792827394e-10,2.8958644179358976e-14,2.9112539232694617e-10,2.873178619277346e-10,2.911253923269464e-10
0.0,5.9951058650535914e-30,-2.152394441202919e-42,5.382724820772413e-30,1.1227086671762736e-30,1.1286750829073972e-26,1.1139135237913978e-26,1.1286750829073972e-26
3.3881317890172014e-21,2.7854865100166048e-12,-4.963083675318166e-24,2.500957900122996e-12,5.216404709776982e-13,2.8538713631699113e-08,2.4440938034766124e-12,2.4764828843053946e-12
5.421010862427522e-20,1.5102903515743957e-12,-2.9116757561866574e-22,1.3560189835390977e-12,2.8283338236997514e-13,1.3427486336171198e-12,5.35271082652302e-07,1.342748633603885e-12
-3.308722450212111e-24,4.474683089285138e-12,1.5146129380243427e-27,4.01760840791719e-12,8.379777772536772e-13,3.978291061004062e-12,3.926260339703488e-12,3.978291061004063e-12
1.3234889800848443e-22,3.7119181063121096e-14,-4.52364397489937e-26,2.5185694555648374e-11,2.0178887269832278e-10,2.4151367222181904e-11,2.3835499670588474e-11,2.4151367222181878e-11
-4.930380657631324e-32,1.0374589866544157e-19,5.868067799304859e-35,9.314858425690002e-20,1.9428584288131283e-20,9.22370083067705e-20,9.10306717167079e-20,9.223700830677056e-20
