Intercept,input1,input2,input3,input4,input5,input6,input7
1.0408340855860843e-17,4.80532854539373e-08,-1.3976043629695956e-20,1.07332704272301e-05,8.686084758047838e-10,1.8397607827343585e-06,1.4011081952460597e-06,1.8397607827343373e-06
2.7755575615628914e-17,1.3642915504077084e-08,-1.4907779871675686e-19,9.549048260506376e-10,2.4660857059707083e-10,7.93360072347485e-09,6.041999098770836e-09,0.00014029749595103122
3.469446951953614e-17,1.7549181373152045e-08,-5.166900978251232e-20,2.8192237625237802e-06,1.5469069844357027e-05,4.860426389121477e-07,3.7015590886037076e-07,4.860426389120961e-07
2.6469779601696886e-22,1.9861929774243635e-12,-4.911384887033602e-25,4.436397250672158e-10,3.5902312161930315e-14,7.604308243003516e-11,5.7912195424744854e-11,7.604308243003428e-11
-7.346839692639297e-40,5.268923678155708e-29,1.4349296274686127e-42,3.6878632333850826e-30,9.524076703820393e-31,2.0172521105946766e-27,1.5362804178437452e-27,2.017252110594681e-27
3.7947076036992655e-19,1.3642915504045141e-08,-5.823351512373315e-22,9.549048260495788e-10,2.466085706692539e-10,6.820966950087168e-07,6.04199909884564e-09,7.933600723405023e-09
-2.42861286636753e-17,5.708136565010365e-09,3.049318610115481e-20,3.995280299170039e-10,1.0317995442719434e-10,3.319384069187393e-09,9.76070631999541e-06,3.3193840692184685e-09
-8.271806125530277e-25,4.426940376077239e-12,0.0,3.0985361805509165e-13,8.002112438951116e-14,2.5743454439563317e-12,1.9605464649381287e-12,2.5743454439563366e-12
5.293955920339377e-22,2.471898844973565e-13,-7.884065213396045e-25,3.971031932557643e-11,2.178903680349069e-10,6.846178247224063e-12,5.213849832173481e-12,6.8461782472231805e-12
-1.6155871338926322e-27,8.578516531027839e-15,0.0,6.004337440477929e-16,1.5506478065899263e-16,4.9885616411044885e-15,3.7991431622178444e-15,4.988561641104498e-15
