Intercept,input1,input2,input3,input4,input5,input6,input7
2.0328790734103208e-20,2.0513444888158575e-16,3.7223127564886245e-24,2.0440565097887453e-08,4.564862219386765e-17,1.3954109065543263e-08,1.2606739007253924e-08,1.3954109065543258e-08
2.0816681711721685e-17,4.770769041842981e-16,6.776263578034403e-21,4.383467499841521e-16,1.0614847488401441e-16,4.0744783510126246e-16,3.6810696634956286e-16,4.789172371675142e-05
1.6940658945086007e-21,5.74159810396478e-17,-4.963083675318166e-24,1.6030707233577499e-09,1.5625862641682342e-08,1.0943642603812793e-09,9.886954835089041e-10,1.0943642603812776e-09
1.0587911840678754e-22,2.5064768407253257e-18,-1.2924697071141057e-26,2.497571863347845e-10,5.577669500039689e-19,1.705011090118534e-10,1.5403799494927507e-10,1.7050110901185334e-10
4.408103815583578e-39,1.1807024912258154e-34,4.304788882405838e-42,1.0848386995423829e-34,2.6274207556015066e-35,8.031635677806169e-27,7.25612321903615e-27,8.031635677806165e-27
0.0,4.770807482885456e-16,-4.632211430296955e-23,4.383454802619118e-16,1.0616492585203686e-16,2.3014422575364677e-07,3.6811331247922237e-16,4.074560672027186e-16
-1.5178830414797062e-18,2.3679404672705413e-16,4.235164736271502e-22,2.1756782404055552e-16,5.269497843987409e-17,2.0223610417877905e-16,3.9517930490111305e-06,2.0223504538759499e-16
1.6543612251060553e-24,4.477671705093489e-12,-1.8175355256292112e-27,4.114119718888272e-12,9.964173762471073e-13,3.824205348709938e-12,3.45495068978477e-12,3.824205348709938e-12
-7.940933880509066e-23,7.13070780041827e-19,-2.5849394142282115e-26,1.9909141934935874e-11,1.9406350116447003e-10,1.3591323870487605e-11,1.2278983344152755e-11,1.3591323870487495e-11
-1.2037062152420224e-35,3.1311689909443266e-23,1.7632415262334313e-38,2.8769425132623886e-23,6.967797989732078e-24,2.674209721374378e-23,2.4159954497758175e-23,2.674209721374377e-23
