Intercept,input1,input2,input3,input4,input5,input6,input7
-1.2705494208814505e-21,5.5475155690534686e-11,7.754818242684634e-25,1.118652767278458e-09,9.259666426982247e-13,1.0766783035896612e-09,1.063345092545545e-09,1.0766783035896617e-09
-6.776263578034403e-21,1.0205364286481165e-11,2.6469779601696886e-23,3.6318187064467462e-12,1.7034340486056074e-13,3.760451414900435e-12,3.713883287547967e-12,5.619089191456079e-08
-1.0587911840678754e-22,6.145691560246922e-12,-6.462348535570529e-27,1.1078618218680475e-10,1.6591810334107273e-10,1.0664644617916072e-10,1.0532577354252373e-10,1.0664644617916082e-10
-2.117582368135751e-21,8.049084656105117e-11,2.0679515313825692e-25,1.6230924839291337e-09,1.343517436414985e-12,1.5621902642922134e-09,1.542844641355976e-09,1.5621902642922134e-09
-5.877471754111438e-39,5.939240842992919e-28,7.533380544210217e-42,2.1136184255796735e-28,9.913516843899848e-30,1.1527055085913186e-26,1.138430802983783e-26,1.1527055085913192e-26
-2.6469779601696886e-23,1.0205364286468398e-11,-2.261821987449685e-26,3.631818706439608e-12,1.7034340486685668e-13,2.7376835343988183e-10,3.713883287565285e-12,3.760451414896208e-12
-8.470329472543003e-22,5.537243607420118e-12,8.271806125530277e-25,1.9705582624040368e-12,9.242520925373484e-14,2.0403520122990866e-12,5.070267147771959e-09,2.040352012300715e-12
3.308722450212111e-24,4.152389413242157e-12,4.0389678347315804e-28,1.4777253534624403e-12,6.930983854468879e-14,1.5300638179991896e-12,1.5111160378420772e-12,1.5300638179991917e-12
-5.293955920339377e-23,8.792827989023543e-12,-7.108583389127582e-26,1.5850516316670795e-10,2.3738408096817493e-10,1.5258231684773036e-10,1.5069279030544913e-10,1.525823168477305e-10
9.860761315262648e-31,1.395703781063874e-18,1.2037062152420224e-34,4.966939893990141e-19,2.3296467189049016e-20,5.1428602751953895e-19,5.079172875541313e-19,5.142860275195393e-19
