Intercept,input1,input2,input3,input4,input5,input6,input7
6.776263578034403e-21,1.6479508555000624e-09,0.0,4.263217271187344e-09,7.087961098499405e-14,3.8760708260245295e-09,3.679001256267029e-09,3.930854836687303e-09
0.0,5.941817652051316e-10,0.0,4.7201581362295755e-12,2.555620655852037e-14,3.403559119849084e-11,2.1209453659260503e-11,3.0677969638899417e-07
4.235164736271502e-22,1.5364475639497228e-10,-2.0679515313825692e-25,3.898988256801534e-10,3.9196256033272625e-10,3.546388493840737e-10,3.3655321965330225e-10,3.5959266092211567e-10
5.082197683525802e-21,9.36062351037358e-10,-2.481541837659083e-24,2.4215753573790665e-09,4.026074871969011e-14,2.20167000616949e-09,2.0897313496437453e-09,2.2327881973759217e-09
0.0,4.5618104002933446e-27,-7.174648137343064e-43,3.623885440259927e-29,1.9620691082019546e-31,1.0729628342628488e-26,1.0184105998985294e-26,1.0881279873241232e-26
2.117582368135751e-22,6.050889668320737e-10,2.0679515313825692e-25,4.806804545897171e-12,2.6025333482541058e-14,1.5358448303560303e-09,2.1598788708791143e-11,2.307737811122437e-11
1.0164395367051604e-20,3.0551961562914405e-10,0.0,2.4270366140639705e-12,1.3140629426761698e-14,1.75006056223071e-11,2.6233190837268532e-08,1.1652157082262005e-11
-2.0679515313825692e-25,2.4012848309934635e-12,6.184669496932733e-28,1.9075718570848838e-14,1.032810742561146e-16,1.3754906940269546e-13,8.571440984255709e-14,9.158216565691008e-14
2.117582368135751e-22,9.554744421811178e-11,0.0,2.4246734591848936e-10,2.4375072568506466e-10,2.2054013735420258e-10,2.0929318211540433e-10,2.2362077637309204e-10
-1.8932661725304283e-29,4.167030939158617e-17,1.348150961071065e-32,3.3102740851664628e-19,1.7922714802520433e-21,2.386935612367052e-18,1.4874311998959518e-18,1.5892563549389789e-18
