Intercept,input1,input2,input3,input4,input5,input6,input7
8.673617379884035e-19,1.4571923115417764e-12,-2.329340604949326e-21,3.1197966335196167e-06,2.319827738854973e-13,7.188890839481115e-07,5.704730843036162e-07,7.188890839481116e-07
-2.7755575615628914e-17,2.6202040298885125e-13,-3.3881317890172014e-20,1.7578065468048382e-13,4.171326912355555e-14,1.8517475828530236e-13,1.4694508325798546e-13,0.00011657942310225322
-2.6020852139652106e-18,7.26160048793732e-13,3.3881317890172014e-21,5.56323144459465e-07,4.223995929237576e-06,1.281927913653604e-07,1.0172714916473248e-07,1.281927913653629e-07
5.293955920339377e-23,1.4976258006634396e-16,-1.2924697071141057e-25,3.20636328902103e-10,2.3841972385866075e-17,7.388364814820517e-11,5.863023042056914e-11,7.388364814820507e-11
-7.346839692639297e-40,5.4952253071874834e-33,-5.201619899573721e-42,3.68656306697845e-33,8.748314118348591e-34,2.711006265474174e-27,2.151313937524064e-27,2.7110062654741752e-27
-5.421010862427522e-20,2.6202035276609674e-13,-3.705769144237564e-22,1.7578070092980623e-13,4.1713237287028136e-14,5.602239335925011e-07,1.4694508480646757e-13,1.8517476190504472e-13
-1.734723475976807e-18,1.1423130932527001e-13,-4.235164736271502e-21,7.66339666378641e-14,1.8185450199920572e-14,8.072943806519971e-14,8.449446292969364e-06,8.072943647701293e-14
-4.963083675318166e-24,4.477666626824509e-12,-6.15942594796566e-27,3.00391694535883e-12,7.128376346111703e-13,3.1644520846333994e-12,2.5111450168884733e-12,3.1644520846333982e-12
2.6469779601696886e-23,3.489203005641519e-17,1.0339757656912846e-25,2.6731357550367108e-11,2.029632356666629e-10,6.159670643752589e-12,4.8879950869995494e-12,6.159670643752567e-12
-3.944304526105059e-31,2.7613345196446546e-19,-3.1898214703913594e-34,1.8524870756730342e-19,4.396002050625222e-20,1.9514875727263855e-19,1.5485993033575532e-19,1.9514875727263838e-19
