Intercept,input1,input2,input3,input4,input5,input6,input7
-2.541098841762901e-21,1.082147647429575e-14,-1.8611563782443123e-24,1.8609234194324316e-09,2.0791079825528315e-15,1.7004474439201066e-09,1.653266735862563e-09,1.7004474439201107e-09
9.75781955236954e-19,6.885163297333254e-15,4.764560328305439e-22,6.211602960381614e-15,1.3228320530946894e-15,6.092943914745772e-15,5.9238870704927894e-15,1.2787859816417522e-06
-1.9058241313221758e-21,2.488430990010844e-15,-2.0679515313825692e-25,1.4308378657835123e-10,1.1832357108428154e-09,1.3074511465540526e-10,1.271174535321159e-10,1.307451146554072e-10
-6.352747104407253e-22,1.7119147624013395e-15,-3.101927297073854e-25,2.9439072206763757e-10,3.289066567158157e-16,2.690040576771222e-10,2.6154025633651703e-10,2.6900405767712256e-10
-2.0571151139390031e-38,6.841559021168401e-32,-1.4349296274686127e-41,6.172263651363067e-32,1.3144546412167172e-32,1.0750576943650084e-26,1.045229084604555e-26,1.0750576943650086e-26
-4.235164736271502e-22,6.88516349619331e-15,-2.895132143935597e-24,6.211602390454172e-15,1.322832279535382e-15,6.145226704951438e-09,5.9238886181477155e-15,6.09294376936878e-15
-1.8973538018496328e-19,3.677653660457493e-15,-5.955700410381799e-23,3.317876343544894e-15,7.06580117771242e-16,3.2544959601029845e-15,1.1355615179057049e-07,3.2544962016397233e-15
-9.926167350636332e-24,4.477632897002481e-12,4.0389678347315804e-28,4.039595462524081e-12,8.602783841224789e-13,3.962428122141283e-12,3.852486374104205e-12,3.962428122141285e-12
-3.970466940254533e-22,4.2198719432427264e-16,-5.169878828456423e-26,2.4264094880281388e-11,2.0065266820364625e-10,2.2171707521836062e-11,2.1556530108699867e-11,2.2171707521836417e-11
-3.851859888774472e-34,2.8854566330397705e-22,0.0,2.6031784628750034e-22,5.543768385721603e-23,2.553450622454979e-22,2.482602441414067e-22,2.5534506224549817e-22
