Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,1.1059073218618227e-12,-7.754818242684634e-26,3.385210063348438e-10,1.823152253171923e-13,3.0842747450752557e-10,2.995852848558776e-10,3.0842747450752573e-10
1.3552527156068805e-20,4.480944034200084e-13,-1.3234889800848443e-23,3.9717847311017064e-13,7.387095687348932e-14,3.898483720351313e-13,3.786719577301518e-13,1.3225648198368508e-07
7.940933880509066e-23,2.605070673291889e-13,-1.1632227364026952e-25,2.9034254945592443e-11,2.1181091069589628e-10,2.6463567384575934e-11,2.570489346278215e-11,2.6463567384575866e-11
0.0,1.0848871142184516e-12,1.2924697071141057e-25,3.3208666802802767e-10,1.7884992237825806e-13,3.025651301420023e-10,2.9389100580543676e-10,3.025651301420023e-10
-8.816207631167156e-39,3.854670763215379e-29,4.304788882405838e-42,3.416673442401825e-29,6.354647942260215e-30,1.0750325502454785e-26,1.0442128520128774e-26,1.0750325502454785e-26
5.293955920339377e-23,4.4809440343139573e-13,0.0,3.971784730624979e-13,7.38709569146674e-14,6.359480097795278e-10,3.7867195770404393e-13,3.898483720173017e-13
-8.470329472543003e-22,2.3911883651147063e-13,1.6543612251060553e-24,2.119483163296394e-13,3.942012472129296e-14,2.0803671819679663e-13,1.1733394192026839e-08,2.0803671819224713e-13
3.308722450212111e-24,4.223539198273009e-12,8.077935669463161e-28,3.743628210583426e-12,6.962748915282603e-13,3.674537927699536e-12,3.5691940010899728e-12,3.6745379276995365e-12
5.293955920339377e-23,2.5420065097071714e-13,-7.754818242684634e-26,2.833138687286526e-11,2.0668334235076763e-10,2.582293112096467e-11,2.5082623355913536e-11,2.5822931120964553e-11
-6.162975822039155e-32,4.391658338445214e-20,2.7083389842945504e-35,3.892644361811538e-20,7.239903052114345e-21,3.8208039212027194e-20,3.7112667506021414e-20,3.820803921202714e-20
