Intercept,input1,input2,input3,input4,input5,input6,input7
4.764560328305439e-22,9.381386947100384e-15,1.0339757656912846e-25,1.6288788674661816e-10,2.0041192576436765e-15,1.5720757758374853e-10,1.554764473723888e-10,1.572075775837485e-10
6.098637220230962e-20,2.296935801490301e-15,2.481541837659083e-23,2.1028348842862594e-15,4.906878615919518e-16,2.0837774653973616e-15,2.06083148290826e-15,4.989321429006567e-08
1.9852334701272664e-22,2.597040707573401e-15,1.357093192469811e-25,1.3325950578729029e-11,1.2401189392221226e-10,1.286128449027917e-11,1.2719659267881008e-11,1.2861284490279316e-11
5.293955920339377e-22,1.506502273368385e-14,3.360421238496675e-25,2.615721673894947e-10,3.2182983547505738e-15,2.524504898427447e-10,2.4967056869290996e-10,2.524504898427446e-10
1.1754943508222875e-38,6.7763517486373784e-31,6.457183323608757e-42,6.203721141044004e-31,1.4476129290256672e-31,1.1355398186437169e-26,1.123035540437349e-26,1.135539818643717e-26
-2.6469779601696886e-23,2.2969357931915807e-15,-9.04728794979874e-26,2.102834927953964e-15,4.906879211610728e-16,2.3976448492345496e-10,2.0608314674462834e-15,2.0837774999822354e-15
3.3881317890172014e-21,1.2480064718494875e-15,1.7060600133906196e-24,1.1425446019408863e-15,2.666081016415976e-16,1.132190028021943e-15,4.5067740176914786e-09,1.132190029724772e-15
1.4889251025954498e-23,4.4770497156789775e-12,6.866245319043687e-27,4.098719930956334e-12,9.56419515026541e-13,4.06157433368676e-12,4.016849301071961e-12,4.06157433368677e-12
3.1763735522036263e-22,4.1047598395597116e-15,2.455692443516801e-25,2.1062367871215914e-11,1.9600734032175578e-10,2.032793860597215e-11,2.0104092470841332e-11,2.032793860597246e-11
8.666684749742561e-34,2.956974476338978e-22,5.64237288394698e-37,2.707097528771059e-22,6.316901250173133e-23,2.6825638313564784e-22,2.65302411473635e-22,2.6825638313564845e-22
