Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,5.331380245938618e-17,1.1632227364026952e-25,9.043674849965021e-11,1.694253148812237e-17,4.244193457096744e-11,3.599413708596316e-11,4.244193457096757e-11
1.6263032587282567e-19,3.760695985681212e-16,6.352747104407253e-22,3.602147500984107e-16,1.1951073726430622e-16,3.1201874745320844e-16,2.6461663967271005e-16,8.027049859010036e-07
7.279189390466644e-23,2.0534057412849088e-17,-4.52364397489937e-26,6.449957827293129e-12,1.043941481502897e-10,3.026969322675405e-12,2.5671108034248444e-12,3.0269693226753502e-12
0.0,8.867142941213967e-17,2.0679515313825692e-25,1.5041425291216114e-10,2.817879079518029e-17,7.058935650106409e-11,5.986539021826942e-11,7.058935650106431e-11
5.877471754111438e-39,6.935691139234052e-33,7.174648137343063e-42,6.643283269375298e-33,2.204085256991261e-33,5.5213497493525115e-27,4.682543851657717e-27,5.521349749352512e-27
1.2705494208814505e-21,3.7606950961753776e-16,5.37667398159468e-24,3.602144677196291e-16,1.195106887708428e-16,3.857408288897815e-09,2.646169250500214e-16,3.120189960209825e-16
6.098637220230962e-20,1.7521912640930642e-16,-1.0587911840678754e-22,1.6783188902746532e-16,5.56827333057197e-17,1.4537665847522714e-16,6.217640844416413e-08,1.4537651620016178e-16
3.308722450212111e-24,4.2292333920542465e-12,5.6545549686242126e-27,4.050929442676464e-12,1.3440031845135344e-12,3.508928830750766e-12,2.9758508097161052e-12,3.508928830750771e-12
1.1911400820763599e-22,3.359404208285786e-17,-7.108583389127582e-26,1.0552232831168464e-11,1.7079047444805635e-10,4.952169598770808e-12,4.199833801473897e-12,4.95216959877075e-12
7.52316384526264e-37,1.7401123820707288e-24,2.938735877055719e-39,1.6667494622878395e-24,5.529882997964589e-25,1.4437440406258975e-24,1.2244098069666844e-24,1.4437440406259006e-24
