Intercept,input1,input2,input3,input4,input5,input6,input7
-6.776263578034403e-21,1.3797914925737866e-10,3.474158572722716e-23,1.7491269330361124e-08,1.478098052162097e-11,1.6845936120415623e-08,1.664792263812205e-08,1.684593612041563e-08
0.0,6.14144837216599e-11,7.199780051661553e-21,4.9962952823998965e-11,6.579010616118166e-12,4.965926189171907e-11,4.907554821543003e-11,5.329851353716102e-06
-8.470329472543003e-22,2.3010218983057054e-11,9.098986738083304e-24,1.452114996620484e-09,6.911332832082933e-09,1.398831372987285e-09,1.3823889818178785e-09,1.3988313729872856e-09
-4.235164736271502e-22,4.010113334679122e-12,1.2407709188295415e-24,5.083519702770509e-10,4.295823492783932e-13,4.895965327747783e-10,4.838416306024911e-10,4.89596532774778e-10
-8.816207631167156e-39,9.340777050631729e-29,4.304788882405838e-42,7.599067431735191e-29,1.000628315113555e-29,1.1404196529466176e-26,1.1270147305284255e-26,1.1404196529466176e-26
-2.371692252312041e-20,6.141448372427176e-11,3.639594695233322e-23,4.996295282250404e-11,6.579010615450631e-12,2.5662082182483688e-08,4.9075548214617324e-11,4.9659261895209775e-11
2.981555974335137e-19,3.334360512002774e-11,-9.793818452627848e-22,2.7126255379399265e-11,3.571925036539062e-12,2.696137325889369e-11,4.81097476532483e-07,2.6961373258754724e-11
-6.617444900424222e-24,4.21353704940243e-12,5.2506581851510546e-27,3.4278681517569237e-12,4.513740618750021e-13,3.407032464537937e-12,3.3669849208592662e-12,3.4070324645379352e-12
-7.940933880509066e-23,7.324841642966442e-13,2.455692443516801e-25,4.622516806751873e-11,2.2000841701732693e-10,4.4528990792700066e-11,4.4005580252208105e-11,4.452899079270012e-11
3.1554436208840472e-30,6.7851265019049716e-18,6.933347799794049e-33,5.519951235463915e-18,7.268549139576008e-19,5.486399193111519e-18,5.421909989204106e-18,5.486399193111517e-18
