Intercept,input1,input2,input3,input4,input5,input6,input7
-4.235164736271502e-21,1.2782943843354312e-12,2.481541837659083e-24,1.921627568535322e-09,2.5007751424907326e-13,1.7527948235907146e-09,1.7032254526408063e-09,1.7527948235907117e-09
-3.2526065174565133e-18,7.551083905216712e-13,1.4823076576950256e-21,6.864196177930306e-13,1.4772468152671996e-13,6.727197317493364e-13,6.536950899434963e-13,1.3041208290194786e-06
3.1763735522036263e-22,3.104577329951594e-13,-5.169878828456423e-26,1.463932044581324e-10,1.2940619612289712e-09,1.3354436804632555e-10,1.297677079210983e-10,1.3354436804632566e-10
-5.293955920339377e-22,1.829708352013587e-13,2.0679515313825692e-25,2.7505542187265543e-10,3.579526923368276e-14,2.50889260517022e-10,2.437940645165917e-10,2.5088926051702186e-10
-4.408103815583578e-38,7.831034551753485e-30,2.0089014784560578e-41,7.118680968563868e-30,1.532014595939292e-30,1.0737899652753815e-26,1.0434229808487702e-26,1.0737899652753808e-26
4.235164736271502e-21,7.551083908813073e-13,-1.2407709188295415e-24,6.864196161819929e-13,1.4772468039389611e-13,6.267637026708417e-09,6.536950889304068e-13,6.727197308544304e-13
-2.303929616531697e-19,4.0311336936798415e-13,1.1911400820763599e-22,3.664439803264495e-13,7.886257716159238e-14,3.591303191989053e-13,1.1574255072159506e-07,3.5913031912383867e-13
0.0,4.2281551360782175e-12,-8.077935669463161e-28,3.8435391007859055e-12,8.271698125581637e-13,3.766827940886141e-12,3.6603013303592156e-12,3.7668279408861366e-12
1.852884572118782e-22,4.78622883335063e-14,-3.877409121342317e-26,2.256897805133111e-11,1.9950144617806916e-10,2.0588113515736164e-11,2.0005877750154748e-11,2.0588113515736155e-11
-9.860761315262648e-32,9.550886083203886e-20,-3.611118645726067e-35,8.68208543123499e-20,1.8684755873304723e-20,8.50880428947616e-20,8.268173686003031e-20,8.50880428947615e-20
