Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,2.1568925277751038e-11,8.271806125530277e-25,6.789937587365539e-09,6.8728714139921425e-12,5.661175088828971e-09,5.367125616474151e-09,5.661175088828975e-09
-1.3877787807814457e-17,1.4206472832427068e-11,-5.421010862427522e-20,1.4109690444759847e-11,4.526848727549318e-12,1.3410669063006761e-11,1.2714099886105206e-11,0.00019145033270196924
2.0328790734103208e-20,1.0169576216919784e-11,-4.963083675318166e-24,6.070882231119181e-10,8.9731993524703e-08,5.071237797333788e-10,4.80783050554513e-10,5.071237797333865e-10
3.970466940254533e-23,1.6421002581752466e-13,-6.462348535570529e-27,5.169361997237154e-11,5.232501748689015e-14,4.3100047662224054e-11,4.086136998935838e-11,4.310004766222408e-11
2.938735877055719e-39,1.696542717902921e-29,-1.4349296274686127e-42,1.6849849235685935e-29,5.405980964902506e-30,4.452899367050583e-27,4.2216094513025094e-27,4.452899367050585e-27
5.421010862427522e-20,1.4206472847328433e-11,5.293955920339377e-23,1.4109690438174249e-11,4.526848689367488e-12,3.5708818445436113e-07,1.2714099915781138e-11,1.3410669111102351e-11
6.505213034913027e-19,7.399430371050788e-12,-3.5734202462290796e-22,7.349021328543217e-12,2.3578056307924497e-12,6.984936611994763e-12,1.1661539966287512e-06,6.984936611779696e-12
9.926167350636332e-24,5.20000425149525e-12,-4.0389678347315804e-28,5.164578925010074e-12,1.6569652920821788e-12,4.9087157060127444e-12,4.6537500424103065e-12,4.90871570601275e-12
4.764560328305439e-22,6.102533255596154e-14,-2.003328046026864e-25,3.642999463886989e-12,5.384614490269016e-10,3.0431353917938405e-12,2.885070618629215e-12,3.043135391793881e-12
0.0,2.919359987580916e-18,0.0,2.8994716806323065e-18,9.302450422274364e-19,2.755826251184884e-18,2.6126847227305673e-18,2.7558262511848832e-18
