Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,2.0526454793529689e-13,5.6545549686242126e-27,2.3706232077475343e-11,7.436782091272002e-14,2.8859087601201366e-12,2.2219467918586663e-12,2.8859087601201237e-12
0.0,3.941254215830796e-14,6.617444900424222e-24,3.928821135083419e-14,1.4279255295831806e-14,2.953826423889531e-14,2.2742386091782085e-14,1.0284569321140368e-07
7.940933880509066e-23,8.653852416134681e-14,3.877409121342317e-26,1.5112278896356945e-12,2.9277529727758275e-10,2.305098122739942e-13,1.774763446964492e-13,2.305098122738375e-13
1.3234889800848443e-23,3.2927775542010773e-13,-1.6155871338926322e-27,3.802865602685384e-11,1.1929809308005602e-13,4.629467525873515e-12,3.5643644245704805e-12,4.629467525873499e-12
-1.6530389308438418e-39,4.6499251961476103e-29,7.174648137343064e-43,4.6352565420614734e-29,1.684678663329948e-29,6.537543863490389e-28,5.03344901781064e-28,6.53754386349038e-28
-2.779326858178173e-22,3.941254217946757e-14,-6.462348535570529e-26,3.928821137330943e-14,1.4279255273346872e-14,1.918474063503792e-10,2.2742386116898002e-14,2.953826417511031e-14
-1.5881867761018131e-22,1.667102704604535e-14,5.686866711302065e-25,1.661843662421959e-14,6.0399516928495734e-15,1.2494327281163547e-14,5.08753518964755e-10,1.2494327280678871e-14
-9.926167350636332e-24,8.696107852579917e-12,8.885729236409477e-27,8.668675110631478e-12,3.1506200068324664e-12,6.517415950357948e-12,5.017951940207394e-12,6.517415950357929e-12
-2.6469779601696886e-23,1.3669795236749327e-13,2.5849394142282115e-26,2.387165254732951e-12,4.6247360963781774e-10,3.641178266424356e-13,2.803451196883592e-13,3.64117826642106e-13
-3.0814879110195774e-33,6.738244490276335e-21,6.018531076210112e-36,6.7169880241168916e-21,2.4412815781367017e-21,5.050068704622813e-21,3.888197753152602e-21,5.050068704622801e-21
