Intercept,input1,input2,input3,input4,input5,input6,input7
1.6940658945086007e-21,1.3331271995696703e-09,-6.203854594147708e-25,2.781443612115831e-09,4.7020047944811167e-23,2.721144480540344e-09,2.6691099068703885e-09,2.721144480540345e-09
-1.6263032587282567e-19,4.4998610444004937e-10,-1.0587911840678754e-22,3.72169237102921e-21,-7.940933880509066e-23,1.5737938334433905e-20,1.526644538527868e-20,6.812444762796948e-07
2.117582368135751e-22,1.3701649910410684e-10,3.877409121342317e-26,2.8270916032906194e-10,2.830648945036253e-10,2.7658028653780126e-10,2.712914320141153e-10,2.765802865378014e-10
3.3881317890172014e-21,2.221504285581396e-09,2.0679515313825692e-25,4.634958244354238e-09,8.013312184107456e-23,4.534476625454684e-09,4.447766948806033e-09,4.534476625454683e-09
2.204051907791789e-39,1.5035959352525614e-27,-1.793662034335766e-43,1.2450201945193026e-38,4.5065758612686117e-41,3.1208460473117935e-27,3.061168255587483e-27,3.1208460473117935e-27
6.352747104407253e-22,4.499861044400421e-10,-1.9387045606711586e-25,3.726073287978249e-21,1.331243798327529e-23,1.2705918598802305e-09,1.5263361229440078e-20,1.5561506525890026e-20
4.235164736271502e-21,2.4248831065895366e-10,-1.0339757656912846e-24,2.0072809838467157e-21,6.591595506281939e-24,8.384464247550878e-21,4.293189124362739e-09,8.384276839443346e-21
6.203854594147708e-25,3.3782611527613737e-12,-2.2424795481021615e-28,2.797679304632157e-23,1.0523725883246022e-25,1.1682490482074366e-22,1.145928721379494e-22,1.1682690318453282e-22
4.235164736271502e-22,2.2457950205631738e-10,-1.809457589959748e-25,4.6337983285662107e-10,4.6396290572967017e-10,4.5333418555715547e-10,4.446653878346616e-10,4.5333418555715593e-10
1.2407709188295415e-24,3.3782403978380187e-12,-3.6540506875835117e-28,2.797675429529019e-23,1.0480592966313214e-25,1.1682482787973558e-22,1.1459200099806856e-22,1.1682673618894185e-22
