Intercept,input1,input2,input3,input4,input5,input6,input7
1.4558378780933287e-22,6.481480715529448e-16,0.0,5.068810995364134e-11,1.4826111316178958e-16,3.677870121618069e-11,3.369747934327242e-11,3.6778701216180164e-11
4.336808689942018e-18,1.5382293278999985e-15,-2.117582368135751e-22,1.5258721635939802e-15,3.5186690953097456e-16,1.4056560794951826e-15,1.2878911499270614e-15,3.195236488972909e-06
-1.3234889800848443e-22,1.9329178868882922e-16,2.8434333556510326e-25,4.010122934528235e-12,3.858966124188861e-10,2.9097259747194004e-12,2.6659568632222748e-12,2.9097259747187784e-12
2.3822801641527197e-22,1.0291302169445825e-15,-3.2311742677852644e-26,8.048263642406214e-11,2.354091576020338e-16,5.839726201742976e-11,5.350489455756693e-11,5.839726201742886e-11
8.816207631167156e-39,6.807746446245297e-32,-1.3452465257518244e-42,6.753031468837317e-32,1.5572430284790742e-32,3.863007288844668e-27,3.539374801562721e-27,3.863007288844631e-27
1.1011428314305904e-20,1.5382343061915379e-15,1.4475660719677984e-24,1.5258712816385014e-15,3.5186456245768523e-16,5.959450051190948e-09,1.2878905703577954e-15,1.4056523668888736e-15
-6.776263578034403e-21,7.742841780064601e-16,-9.926167350636332e-24,7.680610972441538e-16,1.7711418974263834e-16,7.075478350256993e-16,1.8809022230964924e-08,7.075478791764645e-16
1.819797347616661e-23,5.203698176289054e-12,8.077935669463161e-28,5.161875197584611e-12,1.1903238121664846e-12,4.755186321778174e-12,4.3568094454905756e-12,4.755186321778118e-12
-3.705769144237564e-22,3.0213048457446373e-16,3.101927297073854e-25,6.268142032899501e-12,6.031871880608301e-10,4.548133806402499e-12,4.167103239747869e-12,4.548133806401701e-12
4.81482486096809e-35,2.03821927846046e-23,1.1754943508222875e-38,2.0218377746548666e-23,4.662339857878633e-24,1.862543157841557e-23,1.7065042405496058e-23,1.8625431578415338e-23
