Intercept,input1,input2,input3,input4,input5,input6,input7
4.235164736271502e-21,1.797774865262057e-11,-2.0679515313825692e-24,2.4669123422697197e-09,5.045844307019151e-12,2.2201096537926032e-09,2.1505962514512694e-09,2.220109653792609e-09
1.5265566588595902e-16,2.2717304936726317e-11,-1.8973538018496328e-19,2.2567771841214344e-11,6.3761034314522e-12,2.1856998211049086e-11,2.1172638119191893e-11,0.00011295024979048411
-3.218725199566341e-20,5.4977144538590546e-12,1.4889251025954498e-23,1.7034496609084045e-10,2.060129471416172e-08,1.5359473753404939e-10,1.4878556391081226e-10,1.5359473753402664e-10
7.940933880509066e-23,4.550748846302769e-13,-5.169878828456423e-26,6.244551924958148e-11,1.2772661695570163e-13,5.619814605756663e-11,5.4438537323347975e-11,5.619814605756682e-11
1.4693679385278594e-39,3.9081107346812507e-29,-1.4349296274686127e-42,3.882386200721772e-29,1.0968958729389076e-29,4.826207406616225e-27,4.6750950069805935e-27,4.826207406616233e-27
-1.0842021724855044e-19,2.2717304899260347e-11,4.632211430296955e-23,2.2567771756187622e-11,6.376103360417237e-12,2.1068578922704082e-07,2.117263832407047e-11,2.1856998359238493e-11
-5.421010862427522e-20,1.2089772130550613e-11,3.970466940254533e-22,1.2010193076819534e-11,3.3932562445458084e-12,1.163193128707815e-11,7.029763312741413e-07,1.1631931287352773e-11
1.1580528575742387e-23,5.199766217876854e-12,-4.8467614016778965e-27,5.165539561639194e-12,1.4594269435660798e-12,5.002850566846925e-12,4.8462073291074246e-12,5.002850566846939e-12
-6.88214269644119e-22,1.5131462119070722e-13,4.1359030627651384e-25,4.688436300597739e-12,5.670132801322694e-10,4.227416633206587e-12,4.09505284982919e-12,4.227416633205714e-12
2.9582283945787943e-31,1.2624804410654806e-19,-1.4444474582904269e-34,1.2541703589862993e-19,3.5434246352876835e-20,1.2146701843061938e-19,1.1766378929329028e-19,1.2146701843061979e-19
