Intercept,input1,input2,input3,input4,input5,input6,input7
8.470329472543003e-22,2.733537000679497e-16,-8.271806125530277e-25,3.785896845774584e-09,9.371224280213815e-17,1.7973812700487209e-09,1.527432699874562e-09,1.7973812700487194e-09
2.9976021664879227e-15,1.1173764590878008e-15,-1.0842021724855044e-18,1.1118561041474628e-15,3.810326891246635e-16,9.447737731038686e-16,8.028923663069842e-16,0.0006175845148983269
1.3552527156068805e-20,1.0768737834357684e-16,-2.481541837659083e-24,2.5040399361500517e-10,4.193112644779463e-08,1.1888109836204533e-10,1.0102635431951016e-10,1.1888109836205588e-10
6.617444900424222e-24,3.339576749887414e-18,0.0,4.625250389863105e-11,1.1448874856799681e-18,2.1958702940635996e-11,1.866072684592398e-11,2.1958702940635986e-11
2.204051907791789e-39,3.844022655469225e-34,-1.0761972206014595e-42,3.8240358939045207e-34,1.317823702229304e-34,2.5275583724055915e-27,2.1479445531049578e-27,2.5275583724055922e-27
-5.421010862427522e-18,1.1167974375177953e-15,2.2234614865425384e-21,1.110989907079777e-15,3.828692683125476e-16,1.1518594063867606e-06,8.042065379246493e-16,9.463362312541975e-16
3.469446951953614e-18,5.214041150258384e-16,-1.9058241313221758e-21,5.186926954706692e-16,1.7874867464480536e-16,4.41814714628448e-16,3.3719446813911992e-06,4.4181656751302012e-16
9.926167350636332e-24,5.203713416115005e-12,-8.885729236409477e-27,5.176657004912006e-12,1.783958522281553e-12,4.409436287308857e-12,3.747183352515105e-12,4.409436287308857e-12
5.293955920339377e-23,1.3370967073340524e-18,-2.5849394142282115e-26,3.109132774081465e-12,5.206364228097489e-10,1.4760831638511976e-12,1.254390334299826e-12,1.476083163851427e-12
7.222237291452134e-35,3.640034579263562e-23,-3.5264830524668625e-38,3.6211084270153064e-23,1.2478916861499363e-23,3.084432073287922e-23,2.6211814308903683e-23,3.084432073287919e-23
