Intercept,input1,input2,input3,input4,input5,input6,input7
1.6940658945086007e-21,2.6769396527126734e-09,-4.963083675318166e-24,7.907272946647756e-09,7.811853436309649e-14,6.3093697774570495e-09,5.628052132058785e-09,6.504464219926421e-09
-4.336808689942018e-19,2.657498820168735e-09,-3.8116482626443515e-21,1.186937697921723e-10,7.210350133458692e-14,3.6709842002813127e-10,2.3154341846755666e-10,5.441881172598739e-06
-2.117582368135751e-22,2.480676363908242e-10,-8.271806125530277e-25,7.221755804447513e-10,7.47079126958881e-10,5.76610917593251e-10,5.14214316948237e-10,5.942888494069789e-10
-1.6940658945086007e-21,1.5184011701448256e-09,-4.1359030627651384e-24,4.485126320527176e-09,4.431002912740816e-14,3.578771170003459e-09,3.1923173666968656e-09,3.689431725774322e-09
7.346839692639297e-40,1.0843444966387194e-27,-6.457183323608757e-42,4.8430853510218e-29,2.9420532482440535e-32,2.582761227490154e-27,2.3043013409230195e-27,2.6631319810606326e-27
-3.3881317890172014e-21,2.6369865805457387e-09,-1.613002194478404e-23,1.177776169720079e-10,7.154695724574905e-14,1.0435102970015932e-08,2.2975622140638024e-10,2.655343423225512e-10
-6.776263578034403e-21,1.2632709582795279e-09,9.098986738083304e-24,5.642237399073784e-11,3.427518132912295e-14,1.7450422530051427e-10,3.036083790768552e-08,1.272064960651028e-10
2.0679515313825692e-24,2.9672988785933597e-12,3.07971297398283e-27,1.3253059129793544e-13,8.050902024667797e-17,4.098932130516298e-13,2.585357783610234e-13,2.9879551227699135e-13
-4.235164736271502e-22,1.5405617295849724e-10,-4.1359030627651384e-25,4.4848899979890646e-10,4.639547216676647e-10,3.580897232017539e-10,3.1933988206630584e-10,3.690681586021439e-10
5.048709793414476e-29,7.989229136152502e-17,9.55261252416069e-32,3.568286528423155e-18,2.167644839951615e-21,1.1036066585835893e-17,6.960881453906304e-18,8.044844520571427e-18
