Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,2.039277121692936e-09,3.7223127564886245e-24,4.8691700076219855e-09,1.1381813943213008e-16,4.745544123631745e-09,4.634566412250176e-09,4.745544123631743e-09
-1.0842021724855044e-19,4.5875614601334125e-10,1.0587911840678754e-22,6.255482125785584e-15,2.5604654560084825e-17,1.7604955810096302e-14,1.719325208442134e-14,8.367661711579468e-07
-2.117582368135751e-22,2.0586379128769024e-10,2.0679515313825692e-25,4.884733935158035e-10,4.89554263177623e-10,4.760713212699883e-10,4.649380762062991e-10,4.760713212699883e-10
-1.0164395367051604e-20,3.2366225897214197e-09,4.963083675318166e-24,7.728064750111165e-09,1.8064555943524767e-16,7.531852903991431e-09,7.3557155052082055e-09,7.53185290399144e-09
-7.346839692639297e-39,2.2297363643041236e-27,1.4349296274686127e-42,3.0404117749288266e-32,1.2444823853612127e-34,5.1887564413448655e-27,5.0674139145923926e-27,5.1887564413448655e-27
-4.235164736271502e-22,4.5875614601295175e-10,0.0,6.255482084969391e-15,2.560454950814703e-17,1.5606735813842501e-09,1.7193252250658794e-14,1.7604955874745637e-14
-4.235164736271502e-22,2.4613979744637224e-10,1.2407709188295415e-24,3.356299653542572e-15,1.3737795347355676e-17,9.445716008977377e-15,5.250372699302885e-09,9.44571601011475e-15
-8.271806125530277e-25,2.8551068350301297e-12,3.2445602512707334e-28,3.89315103730737e-17,1.593520287284911e-19,1.0956589962850341e-16,1.0700362806048025e-16,1.0956589962890276e-16
-8.470329472543003e-22,3.2165033923622825e-10,4.1359030627651384e-25,7.632115961211526e-10,7.649003928309566e-10,7.438340712045729e-10,7.264390158180177e-10,7.438340712045734e-10
-1.809457589959748e-25,4.17093051127666e-13,2.586446878114282e-29,5.6873747235135736e-18,2.3279207290410597e-20,1.60061174646912e-17,1.5631803742604555e-17,1.6006117464721502e-17
