Intercept,input1,input2,input3,input4,input5,input6,input7
1.5881867761018131e-22,1.775566352604095e-12,-3.2311742677852644e-26,7.543920287323709e-11,2.9783380529243396e-13,6.045297659998156e-11,5.6666180604528654e-11,6.04529765999812e-11
6.505213034913027e-19,1.8631621786028925e-12,2.117582368135751e-22,1.838965682540128e-12,3.1239538392222284e-13,1.7316767703045152e-12,1.6232039172192843e-12,2.3352089167915597e-06
-5.293955920339377e-23,4.3731752427939733e-13,-3.877409121342317e-26,6.697568708875256e-12,4.0269244277965235e-10,5.406730269439754e-12,5.06805075877954e-12,5.406730269439467e-12
5.293955920339377e-23,1.7403274786005543e-12,1.2924697071141057e-26,7.394199463819858e-11,2.9192283050783446e-13,5.925319331820196e-11,5.554155217503902e-11,5.925319331820168e-11
1.4693679385278594e-39,7.684569703483796e-29,-7.174648137343064e-43,7.584771810146821e-29,1.2884676019573213e-29,2.6170761359579463e-27,2.453141554257905e-27,2.6170761359579413e-27
1.2705494208814505e-21,1.863162179160035e-12,8.271806125530277e-25,1.838965683116828e-12,3.123953842139074e-13,4.357136151690362e-09,1.6232039186332171e-12,1.7316767684601092e-12
9.317362419797304e-21,9.594752153382715e-13,-2.1454997138094155e-24,9.4701471216771e-13,1.608746849319909e-13,8.9176399077587e-13,1.406434961349331e-08,8.917639907547446e-13
3.308722450212111e-24,4.890520368051344e-12,-3.2311742677852644e-27,4.827008206813286e-12,8.199908770545722e-13,4.5453909497280846e-12,4.260666040976389e-12,4.545390949728068e-12
0.0,4.2635563012454976e-13,-1.2924697071141057e-26,6.5296860259166554e-12,3.9259846828837076e-10,5.2712040175829084e-12,4.941013919631309e-12,5.2712040175826645e-12
-2.465190328815662e-32,6.24416053108022e-20,-1.8055593228630336e-35,6.163068929246381e-20,1.0469549833181002e-20,5.803503232914736e-20,5.43996972244065e-20,5.803503232914714e-20
