Intercept,input1,input2,input3,input4,input5,input6,input7
2.3822801641527197e-22,1.6896718236686062e-12,-3.9420326066980225e-25,7.009556001074253e-11,3.208759642166048e-13,5.456554303257222e-11,5.076899337626672e-11,5.456554303257164e-11
-2.168404344971009e-19,1.8455983151870715e-12,-7.940933880509066e-22,1.8256161320597315e-12,3.5034183885907203e-13,1.7069799860522627e-12,1.588212098297355e-12,2.613173625436045e-06
-2.117582368135751e-22,4.521830610119788e-13,4.652890945610781e-25,6.105512008987614e-12,4.247003482167349e-10,4.801197897667582e-12,4.4671411795413445e-12,4.801197897668319e-12
2.3822801641527197e-22,1.5271091266368095e-12,-3.715850407953054e-25,6.3351692281114e-11,2.9000460717252753e-13,4.931581245405021e-11,4.5884527426590894e-11,4.931581245404968e-11
3.6734198463196485e-39,7.87511614945024e-29,-6.457183323608757e-42,7.789852737306479e-29,1.4948987817642062e-29,2.543877766447448e-27,2.3668803845259603e-27,2.5438777664474335e-27
8.470329472543003e-21,1.845598315567421e-12,-1.1890721305449773e-23,1.825616132843821e-12,3.5034183892480704e-13,4.875544616289716e-09,1.5882120966697221e-12,1.7069799840724124e-12
-5.082197683525802e-21,9.433961622471194e-13,6.617444900424222e-24,9.331820683568667e-13,1.790807585493645e-13,8.725400063631501e-13,1.5621861893860593e-08,8.725400063735933e-13
2.3161057151484775e-23,4.890405535482509e-12,-4.2207213872945016e-26,4.8374574068698695e-12,9.283242479968035e-13,4.523099253341112e-12,4.208392023075722e-12,4.5230992533410535e-12
-2.3822801641527197e-22,4.073736171338438e-13,2.8434333556510326e-25,5.500481389083856e-12,3.826143258525688e-10,4.325419332982008e-12,4.02446623384022e-12,4.32541933298261e-12
4.683861624749758e-31,8.436066979678665e-20,-7.071774014546882e-34,8.34473018640375e-20,1.6013816192010712e-20,7.802454823034511e-20,7.259577293912367e-20,7.802454823034414e-20
