Intercept,input1,input2,input3,input4,input5,input6,input7
1.9058241313221758e-21,2.092859273736689e-12,-2.0679515313825692e-25,3.7111144928521444e-10,4.494737355697024e-13,2.9724919298990935e-10,2.7882506769001875e-10,2.9724919298990667e-10
-3.469446951953614e-18,3.171427013412838e-12,3.3881317890172014e-21,3.1426847336680252e-12,6.809368166711943e-13,2.9594324732517326e-12,2.7760006762613356e-12,2.3090459125677897e-05
3.8116482626443515e-21,5.569276306270942e-13,0.0,2.796524275118934e-11,2.4095254055271313e-09,2.24553061809939e-11,2.1063479442746847e-11,2.2455306180990023e-11
3.3087224502121107e-22,2.9944272820657886e-13,-7.431700815906108e-26,5.3097991937246764e-11,6.430993393829248e-14,4.252990653651643e-11,3.989381417529003e-11,4.2529906536516045e-11
1.3958995416014664e-38,1.8087316054942514e-29,-2.5111268480700722e-42,1.792339274260267e-29,3.88352603838998e-30,2.5694522645138315e-27,2.410192251064115e-27,2.5694522645138146e-27
1.1858461261560205e-19,3.1714270159091694e-12,-6.617444900424222e-24,3.1426847292081776e-12,6.809368154684736e-13,4.306906369744164e-08,2.7760006740891593e-12,2.959432474646359e-12
4.336808689942018e-19,1.6343411011733655e-12,-1.0587911840678754e-22,1.619529250984456e-12,3.5090923403325953e-13,1.5250933115381111e-12,1.391586735044773e-07,1.5250933111013598e-12
2.481541837659083e-23,4.8956308138750535e-12,-5.6545549686242126e-27,4.851262262095752e-12,1.0511404612090346e-12,4.56838159677545e-12,4.285223771820271e-12,4.568381596775409e-12
5.823351512373315e-22,8.581958439220473e-14,-2.5849394142282115e-26,4.309295101109033e-12,3.7129504358027487e-10,3.4602431947615605e-12,3.2457701004965146e-12,3.460243194761134e-12
7.888609052210118e-31,1.1261086682105094e-19,-8.425943506694157e-35,1.1159028719292588e-19,2.417866930487246e-20,1.0508337559363805e-19,9.857008867972411e-20,1.0508337559363714e-19
