Intercept,input1,input2,input3,input4,input5,input6,input7
-4.743384504624082e-20,2.3042706457322845e-11,1.4889251025954498e-23,1.6980328828115475e-08,5.955343283926648e-12,1.617482411586494e-08,1.5931741177226067e-08,1.617482411586495e-08
2.7755575615628914e-17,7.604763691859011e-12,-1.8634724839594607e-20,7.376244098876629e-12,1.965436612695907e-12,7.272254162521332e-12,7.162963367509511e-12,5.7166079624371056e-05
6.776263578034403e-21,9.312068643138687e-12,-1.6543612251060553e-23,1.636715223106695e-09,4.2880979234055845e-08,1.559303119034038e-09,1.5358691712093714e-09,1.5593031190340272e-09
-4.235164736271502e-22,1.7543558699648332e-13,1.2924697071141057e-25,1.2927969033804424e-10,4.5340990942822696e-14,1.2314698226037956e-10,1.2129627092541057e-10,1.2314698226037974e-10
-1.9836467170126102e-38,5.97546212062021e-30,5.3809861030072976e-42,5.7959023358077005e-30,1.5443467230754794e-30,4.194474680792235e-27,4.131438123229071e-27,4.1944746807922196e-27
-5.89534931288993e-19,7.604763653062278e-12,1.9852334701272664e-22,7.376244135120374e-12,1.965436578841059e-12,1.119664949132969e-07,7.1629633517517205e-12,7.2722542421440834e-12
3.469446951953614e-18,4.115155422773586e-12,1.1434944787933055e-20,3.991496976542536e-12,1.063554012425562e-12,3.935225124397228e-12,5.562060853792044e-05,3.935225097503932e-12
-6.617444900424222e-24,6.279839134480532e-12,1.4136387421560532e-27,6.0911329656609805e-12,1.6230123784582633e-12,6.00526050109686e-12,5.915010594239033e-12,6.005260501096872e-12
2.6469779601696886e-23,5.5882543815126206e-14,-2.0679515313825692e-25,9.822072159614893e-12,2.5733253186977206e-10,9.357515307271374e-12,9.216886123116923e-12,9.357515307271277e-12
-7.888609052210118e-30,3.525119180839275e-18,1.925929944387236e-33,3.4191910318846308e-18,9.110602904824349e-19,3.3709874608283506e-18,3.3203266603013675e-18,3.370987460828359e-18
