Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,2.0462135102961887e-13,-1.9387045606711586e-26,5.955249712700886e-11,6.153277665077828e-14,2.095582176187721e-11,1.7183137845217474e-11,2.0955821761877223e-11
3.3881317890172014e-20,3.816171410374893e-14,-4.084204274480574e-24,3.741148149226273e-14,1.1475812355455311e-14,3.086917864152106e-14,2.5311789658924276e-14,8.102036899915789e-08
0.0,7.520873771933851e-14,5.169878828456423e-26,4.107032625184291e-12,1.438339431208108e-10,1.4736571705051211e-12,1.2083541549990044e-12,1.47365717050518e-12
2.6469779601696886e-23,3.2886133423955734e-13,-3.2311742677852644e-26,9.571099772306862e-11,9.88936439282256e-14,3.3679571902055746e-11,2.761622680021762e-11,3.367957190205576e-11
0.0,1.5161020126698863e-29,-3.587324068671532e-43,1.4862965065013558e-29,4.559151137257965e-30,1.5526807632960931e-27,1.27315110275801e-27,1.5526807632960935e-27
-3.970466940254533e-23,3.8161714116810054e-14,-1.2924697071141057e-26,3.741148148340285e-14,1.1475812370183003e-14,1.5870845018744775e-10,2.5311789650607233e-14,3.086917867793816e-14
-2.710505431213761e-20,1.7191053854909512e-14,-1.3234889800848443e-23,1.6853089774767727e-14,5.1696133952968414e-15,1.3905919222867566e-14,6.562443550264255e-08,1.390591923058361e-14
0.0,9.46386409969722e-12,-1.6155871338926322e-27,9.277811144523396e-12,2.845928995042557e-12,7.655361365144149e-12,6.277163982732821e-12,7.655361365144147e-12
5.293955920339377e-23,1.1902777188505597e-13,1.2924697071141057e-26,6.499922180042058e-12,2.2763623337224236e-10,2.3322573260334233e-12,1.9123802244136514e-12,2.3322573260334294e-12
-9.244463733058732e-33,6.746122206501034e-21,-1.504632769052528e-36,6.6134981578818864e-21,2.028662350740644e-21,5.456967974195796e-21,4.474548122380286e-21,5.456967974195793e-21
