Intercept,input1,input2,input3,input4,input5,input6,input7
-1.3234889800848443e-22,6.896980285542329e-16,3.877409121342317e-26,1.250386841632467e-10,1.2482197928843165e-16,1.1327075565596313e-10,1.0985805638074981e-10,1.132707556559633e-10
-5.421010862427522e-19,9.86166500502947e-16,-1.1911400820763599e-22,9.38995529404659e-16,1.7847668111578567e-16,9.156369183618394e-16,8.880497170142569e-16,1.1638934616542198e-06
9.26442286059391e-23,1.762161340757715e-16,-1.2924697071141057e-26,1.0518316788345349e-11,1.8016784454231727e-10,9.528400536049606e-12,9.241322327601086e-12,9.528400536049618e-12
-1.0587911840678754e-22,1.095236148538299e-15,-2.5849394142282115e-26,1.985606471053442e-10,1.9821652099212288e-16,1.7987325035983005e-10,1.7445390529076627e-10,1.7987325035983028e-10
-2.204051907791789e-39,2.4256546154774924e-32,0.0,2.3096268781185712e-32,4.3899648455895776e-33,3.9837105497992304e-27,3.8636865769103004e-27,3.983710549799235e-27
-1.0587911840678754e-21,9.861665748998242e-16,6.203854594147708e-25,9.389946996132576e-16,1.784770410944485e-16,2.2794754668987026e-09,8.880498448395109e-16,9.156367807138156e-16
2.168404344971009e-19,5.254616361745991e-16,-3.705769144237564e-22,5.003275024705913e-16,9.509764630277138e-17,4.878811573302448e-16,1.1150671391603379e-06,4.878813376556183e-16
-3.308722450212111e-24,6.284374115828603e-12,8.077935669463161e-28,5.983770020004101e-12,1.1373499464714904e-12,5.834921020713053e-12,5.659122504820775e-12,5.8349210207130595e-12
1.0587911840678754e-22,2.754738766209034e-16,0.0,1.6442997774915343e-11,2.8165147775385064e-10,1.489548869514622e-11,1.4446707161205816e-11,1.489548869514626e-11
0.0,2.1470497009889286e-23,1.4693679385278594e-38,2.044348632885672e-23,3.88574393803323e-24,1.9934945313427065e-23,1.9334331562520485e-23,1.9934945313427103e-23
