Intercept,input1,input2,input3,input4,input5,input6,input7
8.470329472543003e-21,1.6661500924726533e-11,4.963083675318166e-24,6.00676271664524e-09,3.806076456587304e-12,5.841405833184405e-09,5.792111754253398e-09,5.841405833184407e-09
5.551115123125783e-17,1.0053241609842834e-11,3.3881317890172014e-20,9.700647024031918e-12,2.2965160980919494e-12,9.614690416384043e-12,9.533554479266523e-12,3.188636943744752e-05
1.4399560103323106e-20,4.3990510805432504e-12,4.1359030627651384e-24,4.3694980267027407e-10,9.705804492042681e-09,4.2497881238120647e-10,4.2139252857900197e-10,4.249788123812029e-10
1.5881867761018131e-22,4.2176618907401505e-13,5.169878828456423e-26,1.5205409351277152e-10,9.6346323759864e-14,1.4786827958823253e-10,1.4662045828398328e-10,1.4786827958823266e-10
1.4693679385278594e-39,1.2230654187493092e-29,7.174648137343064e-43,1.1801691761934591e-29,2.7939142555066417e-30,4.2879819193513245e-27,4.251796773990186e-27,4.287981919351324e-27
-1.0164395367051604e-19,1.0053241642948577e-11,-3.639594695233322e-23,9.700647018474505e-12,2.2965161724885736e-12,6.245875475363806e-08,9.533554566539867e-12,9.614690395717763e-12
8.673617379884035e-18,5.476492827889997e-12,5.082197683525802e-21,5.28441728130884e-12,1.251024763416922e-12,5.23759248836824e-12,3.123188833056007e-05,5.237592497897361e-12
1.3234889800848443e-23,6.279045674521735e-12,9.693522803355793e-27,6.058822404248705e-12,1.4343562455530682e-12,6.005135685194149e-12,5.954459933344184e-12,6.005135685194149e-12
3.441071348220595e-22,1.2108008841610026e-13,1.0339757656912846e-25,1.2026666608786956e-11,2.671439009298472e-10,1.1697175421689839e-11,1.159846605189497e-11,1.1697175421689917e-11
2.465190328815662e-31,1.4986440724941456e-19,2.1666711874356403e-34,1.446082534367559e-19,3.4234334270976554e-20,1.4332689178638235e-19,1.4211739405271709e-19,1.4332689178638227e-19
