Intercept,input1,input2,input3,input4,input5,input6,input7
-4.235164736271502e-22,4.864461393885472e-10,0.0,2.12302899918957e-09,3.210514061968863e-18,1.5941530984958346e-09,1.2299685506767928e-09,1.594153098495835e-09
2.710505431213761e-20,8.309702372591168e-11,0.0,4.456244471407937e-17,5.484521789859344e-19,9.875137420595078e-17,7.619153260318486e-17,1.623273024834532e-07
1.0587911840678754e-22,4.8471519866821686e-11,-5.169878828456423e-26,2.0787300107486227e-10,2.0794173555724093e-10,1.5608896076690977e-10,1.2043041100147153e-10,1.560889607669099e-10
8.470329472543003e-22,7.790476856584717e-10,-2.481541837659083e-24,3.400049243855497e-09,5.141664783436793e-18,2.5530499296993714e-09,1.9698052369002305e-09,2.553049929699371e-09
0.0,1.0076065448485722e-27,7.174648137343064e-43,5.403490962622171e-34,6.650138534822216e-36,3.30206977807264e-27,2.547711372892494e-27,3.302069778072639e-27
1.5881867761018131e-22,8.309702372594415e-11,-2.5849394142282115e-26,4.456243549230801e-17,5.484348889724274e-19,3.179166153765718e-10,7.619155890009664e-17,9.875131333708993e-17
-1.3552527156068805e-20,3.522299633406529e-11,-6.617444900424221e-23,1.8889035728659748e-17,2.3249275963813555e-19,4.185848559023335e-17,1.2371695623648037e-07,4.185847938637876e-17
-1.4475660719677984e-24,3.2812415315197313e-12,7.513661306917033e-28,1.759631185463357e-18,2.16559822332538e-20,3.8993804585500584e-18,3.0085663268682704e-18,3.899380457278542e-18
2.117582368135751e-22,7.640768308881168e-11,0.0,3.2767890160011566e-10,3.2778725063809236e-10,2.4604955406202415e-10,1.8983949138253364e-10,2.460495540620243e-10
-2.0679515313825692e-25,1.5563772583838137e-12,1.7252403404623083e-28,8.3463833243169845e-19,1.0271989273737059e-20,1.8495764510366586e-18,1.4270403951028511e-18,1.8495764506779684e-18
