Intercept,input1,input2,input3,input4,input5,input6,input7
1.0408340855860843e-17,4.308252405204711e-08,6.776263578034403e-21,7.300409197959028e-06,8.841246704488881e-10,2.9904917806946147e-07,2.1748270995834482e-07,2.9904917806946983e-07
0.0,4.24754070047733e-08,7.318364664277155e-19,4.0639508949220525e-09,8.716656249606932e-10,2.7745489670745818e-08,2.0177832694713007e-08,0.0014052144779681836
0.0,2.635617387582989e-08,6.776263578034403e-21,1.9120111755333936e-06,2.153913631745052e-05,8.811448584235053e-08,6.408102269763744e-08,8.811448584235857e-08
6.088049308390284e-22,1.7804422718955216e-12,2.0679515313825692e-25,3.0169906300007324e-10,3.6537621031453595e-14,1.2358602698561308e-11,8.987760553407481e-12,1.2358602698561605e-11
-1.8367099231598242e-40,2.596637428102503e-29,-8.96831017167883e-44,2.4844039750865153e-30,5.328729597142337e-31,1.802406673481017e-28,1.3107954027033165e-28,1.8024066734810182e-28
-1.0842021724855044e-18,4.2475407005415157e-08,-2.117582368135751e-21,4.063950895323017e-09,8.716656242053516e-10,2.77979067636955e-06,2.0177832695276284e-08,2.774548967088436e-08
-3.3306690738754696e-16,1.69705735794434e-08,-9.215718466126788e-19,1.6237061056854993e-09,3.4826424583815976e-10,1.1085399932958366e-08,0.0010094697458626375,1.1085399932450146e-08
6.617444900424222e-24,6.205910726104593e-12,2.4233807008389483e-27,5.937675052397604e-13,1.2735555532518707e-13,4.0537818019640745e-12,2.9481019060556857e-12,4.053781801964084e-12
-1.0587911840678754e-22,3.7105793595117166e-13,1.2924697071141057e-25,2.6918433747310705e-11,3.0324080808462893e-10,1.240528287531569e-12,9.021708586327114e-13,1.2405282875316336e-12
1.9387045606711586e-26,1.202581077795773e-14,0.0,1.1506023820286992e-15,2.467895329882985e-16,7.855416398512804e-15,5.712830435544474e-15,7.855416398512812e-15
