Intercept,input1,input2,input3,input4,input5,input6,input7
-1.6940658945086007e-21,7.803809639855834e-11,7.237830359838992e-25,1.1099256182392212e-09,1.2926959408253812e-12,1.0824329164428203e-09,1.0738474471122103e-09,1.0824329164428185e-09
-1.8973538018496328e-19,2.1417019458884345e-11,3.970466940254533e-23,1.1832477607362122e-11,3.5477152061341414e-13,1.1886517045551825e-11,1.1792237459344184e-11,2.995613673520087e-07
-2.117582368135751e-22,8.895503647108618e-12,1.2278462217584005e-25,1.1067621124562896e-10,2.3264710211357755e-10,1.0795356143980475e-10,1.0709731254272068e-10,1.0795356143980455e-10
-1.6940658945086007e-21,1.1317578994856542e-10,1.4475660719677984e-24,1.6096844288310166e-09,1.8747495264232838e-12,1.5698127714326002e-09,1.5573615800477106e-09,1.5698127714325965e-09
-2.938735877055719e-39,3.216853066501971e-28,3.13890856008759e-42,1.7772473872282598e-28,5.3286959744123534e-30,4.4619587191854125e-27,4.426568064341043e-27,4.461958719185404e-27
-1.5881867761018131e-22,2.141701945885517e-11,2.5849394142282115e-25,1.1832477607333416e-11,3.547715205357884e-13,5.985513978447048e-10,1.1792237459348436e-11,1.1886517045632591e-11
-2.981555974335137e-19,1.1672865432278358e-11,1.3234889800848443e-22,6.449026164206888e-12,1.9336024897583493e-13,6.478479146716063e-12,2.9355761719808493e-07,6.478479146252842e-12
-1.3234889800848443e-23,5.824470910439952e-12,4.0389678347315804e-27,3.21790442198286e-12,9.648197804484092e-14,3.2326007310093167e-12,3.2069609024226198e-12,3.2326007310093074e-12
-2.117582368135751e-22,1.2721063689510536e-11,1.4217166778255163e-25,1.5827312179530066e-10,3.326982620178934e-10,1.5437958153517394e-10,1.5315509811231346e-10,1.5437958153517345e-10
-5.5220263365470826e-30,2.3403906901537324e-18,1.1555579666323415e-33,1.2930193431843144e-18,3.8768418051332785e-20,1.2989246185911316e-18,1.2886220147934383e-18,1.2989246185911259e-18
