Intercept,input1,input2,input3,input4,input5,input6,input7
2.168404344971009e-19,2.526420134935088e-12,3.1763735522036263e-22,1.6055314846596288e-06,5.100429424450176e-13,2.890680804343072e-07,2.2634196384261898e-07,2.89068080434309e-07
1.1102230246251565e-15,6.127574563546511e-13,2.168404344971009e-19,4.788084669417672e-13,1.237052029144951e-13,4.465923616157885e-13,3.4968436566501504e-13,0.001038318137822553
-4.336808689942018e-19,1.5300172644362073e-12,4.499862532288471e-22,2.7110655224507155e-07,5.5889910097448825e-06,4.8812055899899716e-08,3.8220119547545446e-08,4.8812055899902165e-08
5.293955920339377e-23,2.596096184386401e-16,1.2924697071141057e-26,1.6498103792817206e-10,5.241093981313012e-17,2.970402785471801e-11,2.3258424065955095e-11,2.970402785471815e-11
5.510129769479473e-40,6.919892902599695e-33,0.0,5.407202510432038e-33,1.3970133039148503e-33,7.917606936495862e-28,6.199531612926309e-28,7.917606936495865e-28
-4.336808689942018e-19,6.127567636108631e-13,-5.293955920339377e-22,4.788079760100737e-13,1.2370557831635403e-13,2.033536891381646e-06,3.496854880498446e-13,4.4659377796075545e-13
1.6653345369377348e-16,2.6359080078137003e-13,0.0,2.059698609856598e-13,5.3214633153014605e-14,1.9211205299100517e-13,0.0008030989485957474,1.9211178871672563e-13
4.963083675318166e-24,6.2843849695972015e-12,0.0,4.910616777369667e-12,1.2687146368267049e-12,4.580230512452337e-12,3.5863467439323266e-12,4.5802305124523455e-12
1.852884572118782e-22,7.348165863550963e-17,-2.1002632740604218e-26,1.3020349236497341e-11,2.6842071585470403e-10,2.344281277988427e-12,1.8355856774714983e-12,2.344281277988642e-12
4.930380657631324e-31,3.8755302127967096e-19,9.62964972193618e-35,3.02833829821574e-19,7.824062227611192e-20,2.824591717162121e-19,2.211671504358159e-19,2.8245917171621277e-19
